English	Persian
Television	رده:تلویزیون
Temperature	دما
Temple of Artemis	نیایشگاه آرتمیس
Tenerife	تنریفه
Tennessee	تنسی
Tennessee Williams	تنسی ویلیامز
Tennis	تنیس
Tennis	رده:تنیس
Tenor	تنور (صدا)
Tenzing Norgay	تنزینگ نورگای
Tequila	تکیلا
Terbium	تربیوم
Termite	موریانه
Terrorism	تروریسم
Tesla (unit)	تسلا (واحد)
Testicle	بیضه
Testosterone	تستوسترون
Tethys (moon)	تتیس (قمر)
Tetrahedron	چهاروجهی
Texas	تگزاس
Textile	پارچه
Thailand	تایلند
Thales	تالس
Thanksgiving	روز شکرگزاری
The Hague	لاهه
The Star-Spangled Banner	پرچم پرستاره
Theatre	تئاتر
Thebes	تبس
Theocracy	دین‌سالاری
Theodolite	دوربین مهندسی
Theodore Roosevelt	تئودور روزولت
Theodosius I	تئودئوس اول
Theology	الهیات
Theorem	قضیه
Theory	نظریه
Theory of relativity	نسبیت
Thermodynamics	ترمودینامیک
Thermometer	دماسنج
Theseus	تسئوس
Think tank	اندیشگاه
Third World	جهان سوم
Thirty Years' War	جنگ سی‌ساله
Thomas Edison	توماس ادیسون
Thomas Hardy	توماس هاردی
Thomas Hobbes	توماس هابز
Thomas Jefferson	توماس جفرسون
Thomas Mann	توماس مان
Thomas Paine	توماس پین
Thomas Young (scientist)	توماس یانگ
Thor	ثور (اساطیر)
Thorium	توریوم
Thought	فكر
Thrace	تراکیه
Thuringia	تورینگن
Thursday	پنج‌شنبه
Thylacine	گرگ تاسمانی
Thyme	کاکوتی
Tianjin	تیانجین
Tibet	تبت
Tide	کشند
Tiger	ببر
Tigris	دجله
Tilia	نمدار
Timbuktu	تیمبوکتو
Time	زمان
Time	رده:زمان
Time zone	منطقه زمانی
Timur	تیمور لنگ
Tin	قلع
Tirana	تیرانا
Tit (bird)	چرخ‌ریسک
Titan (moon)	تیتان
Titan (mythology)	تیتان (اساطیر یونان)
Titanium	تیتانیوم
Tocopherol	ویتامین ای
Togo	توگو
Togo	رده:توگو
Tokyo	توکیو
Toledo	تلدو
Toluene	تولوئن
Tom Hanks	تام هنکس
Tom and Jerry	تام و جری
Tomato	گوجه فرنگی
Tonga	تونگا
Tongue	زبان (کالبدشناسی)
Toni Morrison	تونی موریسون
Tony Blair	تونی بلر
Toothbrush	مسواک
Topaz	زبرجد هندی
Topeka	توپیکا
Topology	توپولوژی
Topology	رده:توپولوژی
Torah	تورات
Tornado	پیچند
Toronto	تورنتو
Torpedo	اژدر
Tortoise	لاک‌پشت
Torture	شکنجه
Torus	چنبره
Totalitarianism	تمامیت‌خواهی
Toulouse	تولوز
Tour de France	تور دو فرانس
Tourism	گردشگری
Tower	برج (ساختمان)
Tower of Babel	برج بابل
Town	شهر
Toxicology	سم‌شناسی
Toyota	تویوتا
Tractor	تراکتور
Trade	بازرگانی
Trade union	سندیکا
Trademark	علامت تجاری
Tradition	سنت
Tragedy	تراژدی
Trajan	تراژان
Transformer	ترانسفورماتور
Transistor	ترانزیستور
Transliteration	نویسه‌گردانی
Transmission Control Protocol	قرارداد کنترل انتقال
Transsexualism	تراجنسی
Treaty of Versailles	معاهده ورسای
Tree	درخت
Trenton	ترنتون
Triangle	مثلث
Triangulum	سه‌سو
Triangulum Australe	مثلث جنوبی (صورت فلکی)
Trigonometry	مثلثات
Trigonometry	رده:مثلثات
Trilogy	سه‌گانه
Trinidad and Tobago	ترینیداد و توباگو
Trinitrotoluene	تری‌نیتروتولوئن
Trinity	تثلیث
Tripoli	ترابلس
Tritium	تریتیوم
Trojan War	جنگ تروآ
Trojan horse (computing)	تروآ (رایانه)
Troll	ترول
Troll (Internet)	ترول (اینترنت)
Trombone	ترومبون
Troy	تروآ
Truman Doctrine	دکترین ترومن
Trumpet	ترومپت
Tsar	تزار
Tsunami	سونامی
Tuareg	طوارق
Tuba	توبا
Tuberculosis	سل
Tucana	توکان (صورت فلکی)
Tucson	توسان
Tuesday	سه‌شنبه
Tulip	لاله
Tumor	تومور
Tundra	توندرا
Tungsten	تنگستن
Tunis	تونس (شهر)
Tunisia	تونس
Tunisia	رده:تونس
Turbine	توربین
Turin	تورین
Turkey	ترکیه
Turkey	رده:ترکیه
Turkmenistan	ترکمنستان
Turkmenistan	رده:ترکمنستان
Turmeric	زردچوبه
Turtle	لاک‌پشت
Tuvalu	تووالو
Tux	پنگوئن تاکس
Typhon	تایفون
Tyre	صور
Tyrol (state)	ایالت تیرول
U	U
UNESCO	یونسکو
Ufa	اوفا
Uganda	اوگاندا
Uganda	رده:اوگاندا
Ukraine	اوکراین
Ukraine	رده:اوکراین
Ulan Bator	اولان‌باتور
Ultraviolet	فرابنفش
Ulysses S. Grant	اولیسس سیمون گرانت
Uncertainty principle	اصل عدم قطعیت
Unemployment	بی‌کاری
Unicorn	تک‌شاخ
Unidentified flying object	اشیای پرنده ناشناخته
Uniform Resource Locator	Uniform Resource Locator
Union (set theory)	اجتماع (مجموعه)
United Arab Emirates	امارات متحده عربی
United Arab Emirates	رده:امارات متحده عربی
United Kingdom	پادشاهی متحده
United Kingdom	رده:پادشاهی متحد
United Nations	سازمان ملل متحد
United Nations	رده:سازمان ملل متحد
United Nations Children's Fund	یونیسف
United States	ایالات متحده آمریکا
United States	رده:آمریکا
United States Air Force	نیروی هوایی ایالات متحده آمریکا
United States Congress	کنگره ایالات متحده آمریکا
United States Constitution	قانون اساسی ایالات متحده آمریکا
United States House of Representatives	مجلس نمایندگان ایالات متحده آمریکا
United States Military Academy	آکادمی نظامی وست‌پوینت
United States Navy	نیروی دریایی آمریکا
United States Senate	مجلس سنای ایالات متحده آمریکا
United States Virgin Islands	مجمع‌الجزایر ویرجین آمریکا
United States dollar	دلار آمریکا
University	دانشگاه
University of Chicago	دانشگاه شیکاگو
University of Pennsylvania	دانشگاه پنسیلوانیا
Unix	یونیکس
Uppsala	اوپسالا
Ur	اور
Urania	اورانیا
Uranium	اورانیوم
Uranus	اورانوس (سیاره)
Uranus (mythology)	اورانوس (شخصیت افسانه‌ای)
Urdu	زبان اردو
Urine	ادرار
Ursa Major	خرس بزرگ (صورت فلکی)
Ursa Minor	خرس کوچک
Uruguay	اروگوئه
Uruguay	رده:اروگوئه
Utah	یوتا
Utilitarianism	فایده‌گرایی
Utopia	آرمان شهر
Utrecht (city)	اوترخت
Utrecht (province)	اوترخت (استان)
Uzbekistan	ازبکستان
Uzbekistan	رده:ازبکستان
V	V
Vaccine	واکسن
Vacuole	کریچه
Vacuum tube	لامپ خلاء
Vagina	مهبل
Valentine's Day	روز والنتاین
Valhalla	والهالا
Valkyrie	والکیری
Valletta	والتا
Valley	دره
Vampire	خون‌آشام
Vanadium	وانادیوم
Vancouver	ونکوور
Vancouver Island	جزیره ونکوور
Vandalism	وندالیسم
Vanuatu	وانواتو
Variance	واریانس
Varna	وارنا
Vatican City	واتیکان
Vatican City	رده:واتیکان
Vector (spatial)	بردار
Vega	کرکس نشسته
Vegetable	گیاه
Vegetarianism	گیاه‌خواری
Vein	سیاهرگ
Vela (constellation)	بادبان (صورت فلکی)
Velocity	سرعت
Venezuela	ونزوئلا
Venezuela	رده:ونزوئلا
Venice	ونیز
Venus	ناهید (سیاره)
Venus (mythology)	ونوس
Vermont	ورمونت
Verona	ورونا
Vertebral column	ستون مهره‌ها
Vertebrate	مهره‌داران
Vespasian	وسپازیان
Vice President of the United States	معاون رئیس جمهور ایالات متحده آمریکا
Victor Hugo	ویکتور هوگو
Victoria	ویکتوریا، بریتیش کلمبیا
Victoria (Australia)	ایالت ویکتوریا
Video	ویدیو
Video game	بازی رایانه‌ای
Vienna	وین
Vientiane	وینتیان
Vietnam	ویتنام
Vietnam War	جنگ ویتنام
Viking	وایکینگ‌ها
Village	روستا
Vilnius	ویلنیوس
Vincent van Gogh	ونسان ونگوگ
Vincenzo Bellini	وینچنتزو بلینی
Vinegar	سرکه
Viola	ویولا
Violin	ویولون
Virgil	ویرژیل
Virginia	ویرجینیا
Virginia Woolf	ویرجینیا وولف
Virginity	باکره
Virtual memory	حافظه مجازی
Virus	ویروس
Viscosity	گرانروی
Vitamin	ویتامین
Vitamin A	ویتامین آ
Vittorio De Sica	ویتوریو دسیکا
Vivien Leigh	ویوین لی
Vladimir Lenin	ولادیمیر لنین
Vladimir Nabokov	ولادیمیر ناباکوف
Vladimir Putin	ولادیمیر پوتین
Vladivostok	ولادی‌وستوک
Vodka	ودکا
Volans	ماهی پرنده (صورت فلکی)
Volcano	آتشفشان
Volcanology	رده:آتشفشان‌شناسی
Volga River	رودخانه ولگا
Volgograd	ولگوگراد (شهر)
Volleyball	والیبال
Voltaire	ولتر
Vomiting	استفراغ
Vowel	مصوت
Vulpecula	روباهک
W	W
Wahhabism	وهابیت
Wales	ویلز
Wales	رده:ولز
Walnut	گردو
Walrus	گراز دریایی
Walt Disney	والت دیزنی
Walt Whitman	والت ویتمن
Walter Gropius	والتر گروپیوس
Walter Scott	Walter Scott
War	جنگ
War	رده:جنگ
War crime	جنایت جنگی
Warsaw	ورشو
Washington	واشنگتن دی‌سی
Washington	واشنگتن
Wassily Kandinsky	واسیلی کاندینسکی
Waste	زباله
Water	آب
Water	رده:آب
Waterfall	آبشار
Watergate scandal	رسوایی واترگیت
Watermelon	هندوانه
Wave	موج
Wavelength	طول موج
Weak interaction	نیروی هسته‌ای ضعیف
Weapon	جنگ‌افزار
Weather	آب و هوا
Web browser	مرورگر اینترنت
Web page	صفحه وب
Webcam	وب‌بین
Website	وبگاه
Week	هفته
Weight	وزن
Weightlifting	وزنه‌برداری
Weimar	وایمار
Weimar Republic	جمهوری وایمار
Welding	جوشکاری
Wellington	ولینگتون
Werewolf	گرگینه
Wernher von Braun	ورنر فون براون
West	باختر
West Bank	کرانه باختری رود اردن
West Bengal	بنگال غربی
West Virginia	ویرجینیای غربی
Western Australia	استرالیای غربی
Western Sahara	صحرای غربی
Westminster Abbey	کلیسای وست‌مینستر
Whale	نهنگ
Wheat	گندم
Wheel	چرخ
Whisky	ویسکی
White House	کاخ سفید
White blood cell	گویچه سفید
White dwarf	کوتوله سفید
Wicca	ویکا
Wide area network	شبکه گسترده
Wiesbaden	ویسبادن
William Blake	ویلیام بلیک
William Faulkner	ویلیام فاکنر
William Henry Harrison	ویلیام هنری هریسون
William Herschel	ویلیام هرشل
William Howard Taft	ویلیام هووارد تافت
William I	ویلهلم یکم
William II	ویلهلم دوم
William McKinley	ویلیام مک‌کینلی
William Rowan Hamilton	ویلیام همیلتون
William Shakespeare	ویلیام شکسپیر
William Shockley	ویلیام شاکلی
William of Ockham	ویلیام اکام
Willy Brandt	ویلی برانت
Wind instrument	ساز بادی
Wind power	انرژی بادی
Windhoek	ویندهوک
Windmill	آسیاب بادی
Wine	شراب
Winnipeg	وینیپگ
Winston Churchill	وینستون چرچیل
Winter	زمستان
Winter Olympic Games	المپیک زمستانی
Wisconsin	ویسکانسین
Wolfgang Amadeus Mozart	ولفگانگ آمادئوس موتسارت
Wolfgang Pauli	ولفگانگ پاولی
Woman	زن
Wood	چوب
Woodrow Wilson	توماس وودرو ویلسون
Woody Allen	وودی آلن
Word	واژه
Word processor	واژه‌پرداز
World	جهان
World Bank	بانک جهانی‌
World Health Organization	سازمان بهداشت جهانی
World Trade Center	مرکز تجارت جهانی
World Trade Organization	سازمان تجارت جهانی
World War I	جنگ جهانی اول
World War II	جنگ جهانی دوم
World Wide Web	وب جهان‌گستر
World Wide Web	رده:وب جهان‌گستر
Wormhole	کرمچاله
Writer	نویسنده
Writing system	خط
Wuhan	ووهان
Wyoming	وایومینگ
X	X
X-ray	پرتو ایکس
Xenon	گزنون
Xenophobia	بیگانه هراسی
Xinjiang	سین‌کیانگ
Y	Y
Yakuza	یاکوزا
Yale University	دانشگاه ییل
Yalta	یالتا
Yalta Conference	کنفرانس یالتا
Yangon	یانگون
Yangtze River	یانگ‌تسه
Yasser Arafat	یاسر عرفات
Year	سال
Yellow	زرد
Yellowstone National Park	پارک ملی یلوستون
Yemen	یمن
Yemen	رده:یمن
Yerevan	ایروان
Yeti	یتی
Yggdrasil	ایگدراسیل
Yoga	یوگا
Yoghurt	ماست
Yom Kippur	یوم‌کیپور
Yom Kippur War	جنگ یوم کیپور
Yosemite National Park	پارک ملی یوسیمیتی
Young's modulus	مدول یانگ
Ytterbium	ایتربیوم
Yttrium	ایتریوم
Yugoslavia	یوگوسلاوی
Yunnan	یون‌نان
Yuri Gagarin	یوری گاگارین
Z	Z
Zachary Taylor	زکریا تیلور
Zagreb	زاگرب
Zambia	زامبیا
Zambia	رده:زامبیا
Zanzibar	زنگبار
Zaragoza	ساراگوسا
Zebra	گورخر
Zen	ذن
Zeus	زئوس
Ziggurat	زیگورات
Zimbabwe	زیمبابوه
Zimbabwe	رده:زیمبابوه
Zinc	روی
Zionism	صهیونیسم
Zirconium	زیرکونیوم
Zodiac	منطقةالبروج
Zombie	زامبی
Zoo	باغ وحش
Zoology	جانورشناسی
Zoroaster	زرتشت
Zoroastrianism	مزدیسنا
Zulu	زولو
