English	Hungarian
Ostrava	Ostrava
Ostrich	Strucc
Othello	Othello
Otho	Otho
Ottawa	Ottawa
Otto I	I. Ottó német-római császár
Otto von Bismarck	Otto von Bismarck
Ottoman Empire	Oszmán Birodalom
Ovid	Publius Ovidius Naso
Owl	Bagolyalakúak
Oxford	Oxford
Oxidation state	Oxidációs szám
Oxygen	Oxigén
Oxymoron	Oximoron
Oxytocin	Oxitocin
Ozone	Ózon
Ozone layer	Ózonréteg
P	P
PAL	PAL
PH	PH
Pablo Neruda	Pablo Neruda
Pablo Picasso	Pablo Picasso
Pacific Ocean	Csendes-óceán
Pacifism	Pacifizmus
Padua	Padova
Paganism	Pogányság
Pakistan	Pakisztán
Pakistan	Kategória:Pakisztán
Palace of Versailles	Versailles-i kastély
Palau	Palau
Palau	Kategória:Palau
Paleocene	Paleocén
Paleolithic	Paleolitikum
Paleontology	Őslénytan
Paleontology	Kategória:Őslénytan
Paleozoic	Paleozoikum
Palermo	Palermo
Palestine	Kategória:Palesztina
Palindrome	Palindrom
Palladium	Palládium
Palm Sunday	Virágvasárnap
Palmyra	Palmüra
Pan (mythology)	Pán
Panama	Panama
Panama	Kategória:Panama
Panama Canal	Panama-csatorna
Panama City	Panamaváros
Pancreas	Hasnyálmirigy
Pandora	Pandóra
Pangaea	Pangea
Pantheism	Panteizmus
Papua New Guinea	Pápua Új-Guinea
Papua New Guinea	Kategória:Pápua Új-Guinea
Parabola	Parabola
Paracelsus	Paracelsus
Paradigm	Paradigma
Paradox	Paradoxon
Paragliding	Siklóernyő
Paraguay	Paraguay
Paraguay	Kategória:Paraguay
Parallelogram	Paralelogramma
Paramaribo	Paramaribo
Paranoia	Paranoia
Paraphilia	Parafília
Parasitism	Élősködő
Parchment	Pergamen
Paris	Párizs
Paris	Kategória:Párizs
Parity (mathematics)	Páros és páratlan számok
Parliament	Parlament
Parmenides	Parmenidész
Parsec	Parszek
Parsley	Petrezselyem
Parthenon	Parthenón
Parthia	Parthusok
Particle physics	Részecskefizika
Particle physics	Kategória:Részecskefizika
Pascal	Pascal
Pascal (programming language)	Pascal (programozási nyelv)
Pascal (unit)	Pascal (mértékegység)
Passeriformes	Kategória:Verébalakúak
Passerine	Verébalakúak
Passover	Pészah
Pasteurization	Pasztörizálás
Patent	Szabadalom
Pathology	Patológia
Patriarch	Pátriárka
Patriotism	Hazafiság
Paul Gauguin	Paul Gauguin
Paul Johann Ludwig von Heyse	Paul Heyse
Paul Klee	Paul Klee
Paul McCartney	Paul McCartney
Paul Newman	Paul Newman
Paul Verlaine	Paul Verlaine
Paul the Apostle	Pál apostol
Paul von Hindenburg	Paul von Hindenburg
Pauli exclusion principle	Pauli-elv
Pavo (constellation)	Páva csillagkép
Pays de la Loire	Loire-mente
Pea	Zöldborsó
Peace	Béke
Peach	Őszibarack
Pear	Körte
Peat	Tőzeg
Pedophilia	Pedofília
Pedunculate Oak	Kocsányos tölgy
Pegasus	Pégaszosz
Pegasus (constellation)	Pegazus csillagkép
Peloponnese	Peloponnészosz
Peloponnesian War	Peloponészoszi háború
Pendulum	Matematikai inga
Penelope	Pénelopé
Penguin	Pingvinfélék
Penicillin	Penicillin
Peninsula	Félsziget
Pennsylvania	Pennsylvania
Pennsylvania	Kategória:Pennsylvania
Pentagon	Ötszög
Pentagram	Pentagramma
Pentecost	Pünkösd
Pentecostalism	Pünkösdi–karizmatikus mozgalom
People	Kategória:Személyek
People's Republic of China	Kína
Pepin the Short	Kis Pippin
Percentage	Százalék
Perciformes	Sügéralakúak
Percussion instrument	Ütőhangszerek
Percy Bysshe Shelley	Percy Bysshe Shelley
Peregrine Falcon	Vándorsólyom
Perestroika	Peresztrojka
Pericles	Periklész
Period (periodic table)	Periódusos rendszerbeli periódus
Periodic table	Periódusos rendszer
Perm	Perm
Permafrost	Permafroszt
Permian	Perm (időszak)
Permutation	Permutáció
Perpetual motion	Örökmozgó
Persephone	Perszephoné
Persepolis	Perszepolisz
Perseus	Perszeusz (mitológia)
Perseus (constellation)	Perszeusz csillagkép
Persian Empire	Perzsa Birodalom
Persian Gulf	Perzsa-öböl
Perth	Perth
Peru	Peru
Peru	Kategória:Peru
Peter Paul Rubens	Peter Paul Rubens
Petrarch	Francesco Petrarca
Petroleum	Kőolaj
Petrology	Kőzettan
Phanerozoic	Fanerozoikum
Pharaoh	Fáraó
Pharmacology	Gyógyszerhatástan
Phenol	Fenol
Phenomenology	Fenomenológia
Phenotype	Fenotípus
Phenylalanine	Fenilalanin
Phenylketonuria	Fenilketonúria
Phi (letter)	Fi
Philadelphia	Philadelphia
Philip II of Spain	II. Fülöp spanyol király
Philipp Lenard	Lénárd Fülöp
Philippines	Fülöp-szigetek
Philippines	Kategória:Fülöp-szigetek
Philology	Filológia
Philosopher's stone	Bölcsek köve
Philosophy	Filozófia
Philosophy	Kategória:Filozófia
Philosophy	Portál:Filozófia
Phnom Penh	Phnompen
Phobia	Fóbia
Phobos (moon)	Phobosz (hold)
Phoenix	Phoenix
Phoenix	Főnix (egyértelműsítő lap)
Phoenix (constellation)	Főnix csillagkép
Phoenix (mythology)	Főnix
Phoenix (spacecraft)	Phoenix űrszonda
Phoneme	Fonéma
Phonetics	Fonetika
Phonetics	Kategória:Fonetika
Phonology	Fonológia
Phosphoric acid	Foszforsav
Phosphorus	Foszfor
Photography	Fotográfia
Photography	Kategória:Fotográfia
Photon	Foton
Photosynthesis	Fotoszintézis
Phylum	Törzs (rendszertan)
Physical chemistry	Kategória:Fizikai kémia
Physics	Fizika
Physics	Kategória:Fizika
Physics	Portál:Fizika
Physiology	Élettan
Physiology	Kategória:Élettan
Pi	Pi (szám)
Pi (letter)	Pi (betű)
Piano	Zongora
Picardie	Pikárdia
Piciformes	Harkályalakúak
Pictor	Festő csillagkép
Pidgin	Pidzsin nyelvek
Pidgin (software)	Pidgin (program)
Piedmont	Piemont
Pierre	Pierre (Dél-Dakota)
Pierre de Fermat	Pierre de Fermat
Piet Mondrian	Piet Mondrian
Pieter Zeeman	Pieter Zeeman
Pilsen	Plzeň
Pinaceae	Fenyőfélék
Pindar	Pindarosz
Pine	Répafenyő
Pineapple	Ananász
Ping	Ping
Pinniped	Úszólábúak
Pisa	Pisa
Piston	Dugattyú
Pittsburgh	Pittsburgh
Pituitary gland	Agyalapi mirigy
Pixel	Pixel
Pizza	Pizza
Plagiarism	Plágium
Plane (mathematics)	Sík (geometria)
Planet	Bolygó
Planetary nebula	Planetáris köd
Plankton	Plankton
Plant	Növények
Plasma (physics)	Plazma
Plate tectonics	Lemeztektonika
Platinum	Platina
Plato	Platón
Platypus	Kacsacsőrű emlős
Playboy	Playboy
Pleiades (star cluster)	Messier 45
Pleistocene	Pleisztocén
Pliny the Elder	Idősebb Plinius
Pliny the Younger	Ifjabb Plinius
Pliocene	Pliocén
Plovdiv	Plovdiv
Plutarch	Plutarkhosz
Pluto	Plútó
Pluto (disambiguation)	Plútó (egyértelműsítő lap)
Plutonium	Plutónium
Pneumonia	Tüdőgyulladás
Po River	Pó
Poaceae	Pázsitfűfélék
Podcast	Podcasting
Poetry	Költészet
Poetry	Kategória:Költészet
Pogrom	Pogrom
Point (geometry)	Pont (geometria)
Poison	Méreg
Poitou-Charentes	Poitou-Charentes
Poker	Póker
Poland	Lengyelország
Poland	Kategória:Lengyelország
Polar bear	Jegesmedve
Polaris	Sarkcsillag
Police	Rendőrség
Political party	Politikai párt
Political science	Politikatudomány
Political science	Kategória:Politikatudomány
Politics	Politika
Politics	Kategória:Politika
Pollen	Virágpor
Pollution	Környezetszennyezés
Polonium	Polónium
Polygon	Sokszög
Polyhedron	Poliéder
Polyhymnia	Polühümnia
Polymer	Polimer
Polynesia	Polinézia
Polynomial	Polinom
Polytheism	Politeizmus
Pompeii	Pompeii
Pompey	Gnaeus Pompeius Magnus
Pontius Pilate	Poncius Pilátus
Pop art	Pop-art
Pop music	Popzene
Pope	Pápa (egyházfő)
Pope Alexander VI	VI. Sándor pápa
Poplar	Nyárfa
Population	Populáció
Populism	Populizmus
Pornography	Pornográfia
Port Moresby	Port Moresby
Port Vila	Port Vila
Port of Spain	Port of Spain
Port-au-Prince	Port-au-Prince
Porto	Porto
Portrait	Arckép
Portugal	Portugália
Portugal	Kategória:Portugália
Poseidon	Poszeidón
Positron	Pozitron
Postal code	Irányítószám
Potassium	Kálium
Potassium nitrate	Kálium-nitrát
Potato	Burgonya
Potential energy	Potenciális energia
Potsdam	Potsdam
Pound (mass)	Font (súlymérték)
Pound sterling	Font sterling
Power (physics)	Teljesítmény
Power station	Erőmű
Praetor	Praetor
Prague	Prága
Prague	Kategória:Prága
Praia	Praia
Praseodymium	Prazeodímium
Prayer	Ima
Precambrian	Prekambrium
Precession	Precesszió
Precipitation (meteorology)	Csapadék
Prehistory	Őskor
President	Elnök
President of the United States	Az Amerikai Egyesült Államok elnökei
Pressure	Nyomás
Pretoria	Pretoria
Priam	Priamosz
Price	Ár (gazdaság)
Primate	Főemlősök
Primates	Kategória:Főemlősök
Prime Meridian	Nullmeridián
Prime minister	Miniszterelnök
Prime number	Prímszámok
Prince Edward Island	Prince Edward-sziget
Prince Philip	Fülöp edinburgh-i herceg
Princeton University	Princeton Egyetem
Principle of relativity	Relativitáselmélet
Prion	Prion
Prism (geometry)	Hasáb
Prism (optics)	Prizma
Prison	Börtönbüntetés
Prisoner of war	Hadifogság
Prix Goncourt	Goncourt-díj
Procyonidae	Mosómedvefélék
Programming language	Programozási nyelv
Progressive rock	Progresszív rock
Project	Projekt
Prokaryote	Prokarióták
Prolog	Prolog programozási nyelv
Prometheus	Prométheusz
Promethium	Promécium
Propaganda	Propaganda
Propane	Propán
Prophet	Próféta
Prose	Próza
Prostate	Prosztata
Protactinium	Protaktínium
Protein	Fehérje
Proterozoic	Proterozoikum
Protestant Reformation	Reformáció
Protestantism	Protestantizmus
Protist	Véglények
Protista	Kategória:Protiszták
Protocol	Protokoll
Proton	Proton
Protozoa	Protozoa
Proxima Centauri	Proxima Centauri
Psalms	Zsoltár
Pseudoscience	Kategória:Áltudományok
Pseudoscience	Áltudomány
Psi (letter)	Pszi
Psoriasis	Pikkelysömör
Psychiatry	Pszichiátria
Psychoanalysis	Pszichoanalízis
Psychology	Pszichológia
Psychology	Kategória:Pszichológia
Psychotherapy	Pszichoterápia
Ptah	Ptah
Pterosaur	Pterosauria
Ptolemaic dynasty	Ptolemaida dinasztia
Ptolemy	Ptolemaiosz Klaudiosz
Public domain	Közkincs
Public relations	Public relations
Puerto Rico	Puerto Rico
Puerto Rico	Kategória:Puerto Rico
Pula	Póla
Pulley	Csiga (gép)
Pulsar	Pulzár
Punk	Kategória:Punk
Punk rock	Punk
Puppis	Hajófar csillagkép
Pyongyang	Phenjan
Pyramid	Piramis
Pyrenees	Pireneusok
Pyrite	Pirit
Pythagoras	Püthagorasz
Python (programming language)	Python (programozási nyelv)
Pyxis	Tájoló csillagkép
Q	Q
Qatar	Katar
Qing Dynasty	Csing-dinasztia
Quadratic equation	Másodfokú egyenlet
Quadrilateral	Négyszög
Quaestor	Quaestor
Quantum field theory	Kvantumtérelmélet
Quantum mechanics	Kvantummechanika
Quark	Kvark
Quartz	Kvarc
Quasar	Kvazár
Quaternary	Negyedkor
Quaternion	Kvaterniók
Quebec	Québec
Quebec City	Québec (város)
Queens	Queens
Quentin Tarantino	Quentin Tarantino
Question mark	Kérdőjel
Quetzalcoatl	Quetzalcóatl
Quito	Quito
R	R
RAF (disambiguation)	RAF
RAID	RAID
RNA	Ribonukleinsav
Ra	Ré
Rabat	Rabat
Rabbi	Rabbi
Rabindranath Tagore	Rabindranath Tagore
Raccoon Dog	Nyestkutya
Rachel Carson	Rachel Louise Carson
Racism	Rasszizmus
Radar	Rádiólokátor
Radio	Kategória:Rádió
Radioactive decay	Radioaktivitás
Radiocarbon dating	Radiokarbon kormeghatározás
Radium	Rádium
Radon	Radon
Rain	Eső
Rainbow	Szivárvány
Rainer Maria Rilke	Rainer Maria Rilke
Rama	Ráma
Ramayana	Rámájana
Ramesses II	II. Ramszesz
Random access memory	Tetszőleges hozzáférésű memória
Ranunculaceae	Boglárkafélék
Rape	Erőszakos közösülés
Rapeseed	Repce
Raphael	Raffaello Sanzio
Raphael (archangel)	Rafael arkangyal
Raspberry	Málna
Rational number	Racionális szám
Ratite	Struccalakúak
Ravenna	Ravenna
Rawalpindi	Ravalpindi
Ray Bradbury	Ray Bradbury
Read-only memory	ROM
Real number	Valós számok
Recife	Recife
Rectangle	Téglalap
Rectifier	Egyenirányító
Recycling	Újrahasznosítás
Red	Vörös
Red Army Faction	Vörös Hadsereg Frakció
Red Deer	Gímszarvas
Red Fox	Vörös róka
Red Panda	Vörös macskamedve
Red Sea	Vörös-tenger
Red algae	Vörösmoszatok
Red blood cell	Vörösvértest
Red dwarf	Vörös törpe
Red giant	Vörös óriás
Redshift	Vöröseltolódás
Redshift (disambiguation)	Vöröseltolódás
Reduced instruction set computer	RISC
Referendum	Népszavazás
Refraction	Fénytörés
Refractive index	Törésmutató
Reggae	Reggae
Regiment	Ezred
Regina	Regina (Kanada)
Reims	Reims
Reincarnation	Lélekvándorlás
Reindeer	Rénszarvas
Relation (mathematics)	Reláció
Relativism	Relativizmus
Relativity	Kategória:Relativitáselmélet
Relay	Relé
Religion	Vallás
Religion	Kategória:Vallás
Religious Society of Friends	Kvékerek
Rembrandt	Rembrandt
Renaissance	Reneszánsz
Renaissance	Kategória:Reneszánsz
Reptile	Hüllők
Republic	Köztársaság
Republic of China	Tajvan
Republic of Ireland	Írország
Republic of Ireland	Kategória:Írország
Republic of the Congo	Kongói Köztársaság
Republic of the Congo	Kategória:Kongó
Republican Party (United States)	Republikánus Párt (USA)
Resistor	Ellenállás (elektronika)
Respiratory system	Légzőrendszer
Reticulum	Háló csillagkép
Revolution	Forradalom
Rhea (moon)	Rhea (hold)
Rhea (mythology)	Rheia
Rhenium	Rénium
Rhetoric	Retorika
Rhetoric	Kategória:Retorika
Rhine	Rajna
Rhinoceros	Orrszarvúfélék
Rho (letter)	Ró
Rhode Island	Rhode Island
Rhodes	Rodosz (sziget)
Rhodium	Ródium
Rhombus	Rombusz
Rhyme	Rím
Rhythm and blues	Rhythm and blues
Riboflavin	Riboflavin
Rice	Rizs
Richard Feynman	Richard Feynman
Richard Nixon	Richard Nixon
Richard Strauss	Richard Strauss
Richard Wagner	Richard Wagner
Richard Wright (musician)	Richard Wright
Riga	Riga
Rigel	Rigel
Right ascension	Rektaszcenzió
Ring (mathematics)	Gyűrű (matematika)
Ringo Starr	Ringo Starr
Rio de Janeiro	Rio de Janeiro
River	Folyó
River Thames	Temze
Riyadh	Rijád
Roald Amundsen	Roald Amundsen
Robert A. Heinlein	Robert A. Heinlein
Robert Andrews Millikan	Robert Millikan
Robert Boyle	Robert Boyle
Robert Burns	Robert Burns
Robert De Niro	Robert De Niro
Robert E. Lee	Robert E. Lee
Robert Falcon Scott	Robert Falcon Scott
Robert Hooke	Robert Hooke
Robert Koch	Robert Koch
Robert Louis Stevenson	Robert Louis Stevenson
Robert Oppenheimer	Robert Oppenheimer
Robert Redford	Robert Redford
Robert Schumann	Robert Schumann
Robin Hood	Robin Hood
Robot	Robot
Rock	Kő-papír-olló
Rock (geology)	Kőzet
Rock and roll	Rock and roll
Rock music	Rock
Rock music	Kategória:Rock
Rocket	Rakéta
Rocky Mountains	Sziklás-hegység
Rococo	Rokokó
Rodent	Rágcsálók
Roe Deer	Európai őz
Roentgenium	Roentgenium
Roger Bacon	Roger Bacon
Roman Catholic Church	Katolikus egyház
Roman Empire	Római Birodalom
Roman Republic	Római Köztársaság
Roman calendar	Ókori római naptár
Roman law	Római jog
Roman legion	Légió
Roman mythology	Római mitológia
Roman mythology	Kategória:Római mitológia
Romania	Románia
Romania	Kategória:Románia
Romansh	Romans nyelv
Romanticism	Romantika
Rome	Róma
Ronald Reagan	Ronald Reagan
Rook (bird)	Vetési varjú
Rook (chess)	Bástya (sakk)
Root	Gyökér
Rosa Parks	Rosa Parks
Rosaceae	Rózsafélék
Rosales	Rózsavirágúak
Rosary	Rózsafüzér
Rose	Rózsa
Rosemary	Rozmaring
Rosetta Stone	Rosette-i kő
Rosh Hashanah	Ros hásáná
Ross Sea	Ross-tenger
Rostock	Rostock
Rotterdam	Rotterdam
Router	Router
Rowing (sport)	Evezés
Royal Air Force	Brit Királyi Légierő
Royal Society	Royal Society
Rubber	Gumi
Rubicon	Rubicon (folyó)
Rubidium	Rubídium
Ruble	Rubel
Rubus idaeus	Málna
Ruby (programming language)	Ruby
Rudolf Diesel	Rudolf Diesel
Rudolf Hess	Rudolf Heß
Rudolf Steiner	Rudolf Steiner
Rudyard Kipling	Rudyard Kipling
Rugby football	Rögbi
Russia	Oroszország
Russia	Kategória:Oroszország
Russian Orthodox Church	Orosz Ortodox Egyház
Russian Revolution (1917)	1917-es oroszországi forradalmak
Russo-Japanese War	Orosz–japán háború
Ruthenium	Ruténium
Rutherford B. Hayes	Rutherford B. Hayes
Rutherfordium	Radzerfordium
Rwanda	Ruanda
Rwanda	Kategória:Ruanda
Rye	Rozs
S	S
SOAP	SOAP
SOS	SOS
Sacrament	Szentség
Sacramento	Sacramento
Saddam Hussein	Szaddám Huszein
Safari (web browser)	Safari (webböngésző)
Sagitta	Nyílvessző csillagkép
Sagittarius (constellation)	Nyilas csillagkép
Sahara	Szahara
Saint	Szent
Saint Andrew	Szent András (apostol)
Saint George	Szent György
Saint Kitts and Nevis	Saint Kitts és Nevis
Saint Kitts and Nevis	Kategória:Saint Kitts és Nevis
Saint Lawrence River	Szent Lőrinc-folyó
Saint Lucia	Saint Lucia
Saint Nicholas	Szent Miklós
Saint Patrick	Szent Patrik
Saint Peter	Szent Péter
Saint Petersburg	Szentpétervár
Saint Vincent and the Grenadines	Saint Vincent és a Grenadine-szigetek
Saint Vincent and the Grenadines	Kategória:Saint Vincent
Saladin	Szaladin
Salamander	Farkos kétéltűek
Salerno	Salerno
Saliva	Nyál
Salman Rushdie	Salman Rushdie
Salmonidae	Lazacfélék
Salt	Konyhasó
Salt Lake City	Salt Lake City
Salzburg	Salzburg
Salzburg (state)	Salzburg (tartomány)
Samara	Szamara
Samarium	Szamárium
Samarkand	Szamarkand
Samoa	Szamoa
Samoa	Kategória:Szamoa
Samsara	Szamszára
Samuel Beckett	Samuel Beckett
Samuel F. B. Morse	Samuel Finley Breese Morse
Samuel Taylor Coleridge	Samuel Taylor Coleridge
San Diego	San Diego
San Francisco	San Francisco
San Marino	San Marino
San Marino	Kategória:San Marino
San Marino	San Marino (város)
San Salvador	San Salvador
Sand	Homok
Sandro Botticelli	Sandro Botticelli
Sandwich	Szendvics
Sanskrit	Szanszkrit nyelv
Santiago	Santiago de Chile
Santiago	Santiago
Santiago de Cuba	Santiago de Cuba
Santo Domingo	Santo Domingo
Sappho	Szapphó
Sarah Bernhardt	Sarah Bernhardt
Sarajevo	Szarajevó
Saratov	Szaratov
Sarcophagus	Szarkofág
Sardine	Szardínia (hal)
Sardinia	Szardínia (Olaszország)
Sari	Szári
Satan	Sátán
Satanism	Sátánizmus
Satellite	Műhold
Satire	Szatíra
Saturday	Szombat
Saturn	Szaturnusz
Saturn	Kategória:Szaturnusz
Saturn (disambiguation)	Saturn
Saudi Arabia	Szaúd-Arábia
Saul Bellow	Saul Bellow
Sausage	Kolbász
Savanna	Szavanna
Saxony	Szászország
Saxony	Kategória:Szászország
Saxophone	Szaxofon
Scandinavia	Skandinávia
Scandinavia	Kategória:Skandinávia
Scandium	Szkandium
Scapula	Lapocka
Scheldt	Scheldt folyó
Scheme (programming language)	Scheme
Schizophrenia	Skizofrénia
Scholasticism	Skolasztikus filozófia
Schutzstaffel	Schutzstaffel
Science	Tudomány
Science	Kategória:Tudomány
Science fiction	Sci-fi
Science fiction	Kategória:Science fiction
Scientific method	Tudományos módszer
Scientology	Szcientológia
Scissors	Olló
Sciuridae	Mókusfélék
Scorpion	Skorpiók
Scorpius	Skorpió csillagkép
Scotland	Skócia
Scots Pine	Erdeifenyő
Scottish Gaelic	Skót nyelv
Scouting	Cserkészet
Scrabble	Scrabble
Screw	Csavar
Sculptor (constellation)	Szobrász csillagkép
Sculpture	Szobrászat
Sculpture	Kategória:Szobrászat
Sea	Tenger
Sea Otter	Tengeri vidra
Sea anemone	Tengeri anemona
Sea cucumber	Tengeriuborkák
Sea of Azov	Azovi-tenger
Sea of Japan	Japán-tenger
Sea of Marmara	Márvány-tenger
Sea of Okhotsk	Ohotszki-tenger
Sea urchin	Tengerisünök
Seaborgium	Szíborgium
Seahorse	Csikóhalak
Search engine	Keresőmotor
Season	Évszak
Seattle	Seattle
Second	Másodperc
Second Vatican Council	Második vatikáni zsinat
Sect	Szekta
Sedimentary rock	Üledékes kőzetek
Seed	Mag
Segovia	Segovia
Seine	Szajna
Selenium	Szelén
Seleucus I Nicator	I. Szeleukosz Nikatór
Semantics	Szemantika
Semantics	Kategória:Szemantika
Semicolon	Pontosvessző
Semiconductor	Félvezető
Semiotics	Szemiotika
Senegal	Szenegál
Senegal	Kategória:Szenegál
Seoul	Szöul
Seppuku	Szeppuku
September	Szeptember
September 11	Szeptember 11
September 11	2001. szeptember 11-i terrortámadás
September 17	Szeptember 17
September 29	Szeptember 29
Septuagint	Septuaginta
Sequence	Sorozat (matematika)
Serbia	Szerbia
Serbia	Kategória:Szerbia
Serbia and Montenegro	Szerbia és Montenegró
Serbia and Montenegro	Kategória:Szerbia és Montenegró
Serfdom	Jobbágy
Sergei Eisenstein	Szergej Mihajlovics Eisenstein
Sergei Rachmaninoff	Sergey Rachmaninov
Serine	Szerin
Serotonin	Szerotonin
Serpens	Kígyó csillagkép
Server (computing)	Kiszolgáló
Set	Halmaz
Set (mythology)	Széth
Set theory	Halmazelmélet
Set theory	Kategória:Halmazelmélet
Sevastopol	Szevasztopol
Seven Years' War	Hétéves háború
Seville	Sevilla
Sex	Biológiai nem
Sextant	Szextáns
Sexual intercourse	Közösülés
Sexuality	Kategória:Szexualitás
Sexually transmitted disease	Szexuális úton terjedő betegségek
Seychelles	Seychelle-szigetek
Seychelles	Kategória:Seychelle-szigetek
Shamanism	Samanizmus
Shanghai	Sanghaj
Share (finance)	Részvény
Shareware	Shareware
Sharia	Saría
Shark	Cápák
Sheffield	Sheffield
Sherlock Holmes	Sherlock Holmes
Shetland	Shetland
Shield	Pajzs
Shinto	Sintó
Ship	Hajó
Shiva	Siva
Shogi	Sógi
Shogun	Sógun
Shorthand	Gyorsírás
Shrub	Cserje
Siberia	Szibéria
Siberian Husky	Szibériai husky
Sichuan	Szecsuán
Sicily	Szicília
Sicily	Kategória:Szicília
Sierra Leone	Sierra Leone
Sierra Leone	Kategória:Sierra Leone
Sigma	Szigma
Sigmund Freud	Sigmund Freud
Sign language	Jelnyelv
Sikhism	Szikhizmus
Sikkim	Szikkim
Silesia	Szilézia
Silicon	Szilícium
Silicon dioxide	Szilícium-dioxid
Silk	Selyem
Silk Road	Selyemút
Silurian	Szilur
Silver	Ezüst
Simone de Beauvoir	Simone de Beauvoir
Sin	Bűn
Sinai Peninsula	Sínai-félsziget
Singapore	Szingapúr
Singapore	Kategória:Szingapúr
Single (music)	Kislemez
Sirenia	Tengeri tehenek
Sirius	Szíriusz
Sistine Chapel	Sixtus-kápolna
Sisyphus	Sziszüphosz
Sitting Bull	Ülő Bika
Situation comedy	Szituációs komédia
Six-Day War	Hatnapos háború
Skagerrak	Skagerrak
Skepticism	Szkepticizmus
Skin	Bőr
Skinhead	Skinhead
Skopje	Szkopje
Skull	Koponya
Skylab	Skylab-program
Skyscraper	Felhőkarcoló
Slash (musician)	Slash
Slavery	Rabszolgaság
Slayer	Slayer
Sleep	Alvás
Slovakia	Szlovákia
Slovakia	Kategória:Szlovákia
Slovenia	Szlovénia
Slovenia	Kategória:Szlovénia
Small intestine	Vékonybél
Smog	Szmog
Smolensk	Szmolenszk
Snake	Kígyók
Snooker	Sznúker
Snow	Hó
Social psychology	Szociálpszichológia'
Socialism	Szocializmus
Society	Kategória:Társadalom
Society	Társadalom
Society of Jesus	Jezsuiták
Sociolinguistics	Szociolingvisztika
Sociology	Szociológia
Sociology	Kategória:Szociológia
Socrates	Szókratész
Sodium	Nátrium
Sodium chloride	Nátrium-klorid
Sodium hydroxide	Nátrium-hidroxid
Sofia	Szófia
Softball	Softball
Software	Kategória:Szoftverek
Soil	Talaj
Solanaceae	Burgonyafélék
Solanaceae	Kategória:Burgonyafélék
Solar System	Naprendszer
Solar System	Kategória:Naprendszer
Solar cell	Napelem
Solar energy	Napenergia
Solar wind	Napszél
Solid	Szilárd halmazállapot
Solid state	Szilárd (halmazállapot)
Solidarity	Szolidaritás Független Szakszervezet
Solomon	Salamon (Biblia)
Solomon Islands	Salamon-szigetek
Solon	Szolón
Solstice	Napforduló
Solution	Oldat
Somalia	Szomália
Somalia	Kategória:Szomália
Sonata	Szonáta
Sonnet	Szonett
Sophia Loren	Sophia Loren
Sophism	Szofizmus
Sophocles	Szophoklész
Soprano	Szoprán
Sorghum	Cirok
Sorting algorithm	Rendezés (programozás)
Soul	Lélek
Sound	Hang
Source code	Forráskód
South Africa	Kategória:Dél-afrikai Köztársaság
South America	Dél-Amerika
South America	Kategória:Dél-Amerika
South Carolina	Dél-Karolina
South Dakota	Dél-Dakota
South Dakota	Kategória:Dél-Dakota
South Korea	Dél-Korea
South Korea	Kategória:Dél-Korea
South Pole	Déli-sark
South Vietnam	Vietnami Köztársaság
Southeast Asia	Délkelet-Ázsia
Soviet Union	Szovjetunió
Soviet Union	Kategória:Szovjetunió
Soybean	Szójabab
Space	Tér
Space station	Űrállomás
Spacecraft	Űreszköz
Spaghetti	Spagetti
Spain	Spanyolország
Spain	Kategória:Spanyolország
Spam (electronic)	Spam
Spanish Civil War	Spanyol polgárháború
Spanish people	Kategória:Spanyolok
Sparta	Spárta
Special relativity	Speciális relativitáselmélet
Species	Faj
Spectroscopy	Színképelemzés
Speed of light	Fénysebesség
Speleology	Szpeleológia
Spencer Tracy	Spencer Tracy
Sperm Whale	Nagy ámbráscet
Spermatophyte	Virágos növények
Sphere	Gömb
Sphinx	Szfinx
Spice	Fűszer
Spider	Pókok
Spin (physics)	Spin
Spinach	Spenót
Spinal cord	Gerincvelő
Spiral galaxy	Spirálgalaxis
Split	Split
Sponge	Szivacsok
Sport	Sport
Spreadsheet	Táblázatkezelő program
Spring (season)	Tavasz
Spyware	Spyware
Squamata	Pikkelyes hüllők
Square (geometry)	Négyzet
Square metre	Négyzetméter
Squash (sport)	Squash
Sri Lanka	Srí Lanka
Sri Lanka	Kategória:Srí Lanka
Stained glass	Üvegfestés
Stalinism	Sztálinizmus
Standard Generalized Markup Language	Standard Generalized Markup Language
Standard deviation	Szórás
Stanford University	Stanford Egyetem
Stanley Kubrick	Stanley Kubrick
Star	Csillag
Starch	Keményítő
Starfish	Tengericsillagok
State	Állam
Staten Island	Staten Island
Statistics	Statisztika
Statistics	Kategória:Statisztika
Statue of Liberty	Szabadság-szobor (New York)
Stavanger	Stavanger
Steam engine	Gőzgép
Steel	Acél
Steffi Graf	Steffi Graf
Stegosaurus	Sztegoszaurusz
Stendhal	Stendhal
Stephen Hawking	Stephen William Hawking
Steven Spielberg	Steven Spielberg
Sting	Sting
Stock exchange	tőzsde
Stockholm	Stockholm
Stoicism	Sztoikus filozófia
Stomach	Gyomor
Stonehenge	Stonehenge
Stork	Gólyafélék
Strait	Szoros
Strait of Gibraltar	Gibraltári-szoros
Strait of Magellan	Magellán-szoros
Strait of Messina	Messinai-szoros
Straits	Kategória:Tengerszorosok
Strasbourg	Strasbourg
Strategy	Stratégia
Stratigraphy	Rétegtan
Stratosphere	Sztratoszféra
Strawberry	Szamóca
Stress (medicine)	Stressz (pszichikai)
