Vietnamese	English
Stanley Kubrick	Stanley Kubrick
Ngôi sao	Star
Tinh bột	Starch
Quốc gia	State
Cơ học thống kê	Statistical mechanics
Thống kê	Statistics
Tượng Nữ thần Tự do	Statue of Liberty
Stavanger	Stavanger
Động cơ hơi nước	Steam engine
Thép	Steel
Stefan Zweig	Stefan Zweig
Steffi Graf	Steffi Graf
Stegosaurus	Stegosaurus
Stendhal	Stendhal
Stephen Hawking	Stephen Hawking
Thảo nguyên	Steppe
Steven Spielberg	Steven Spielberg
Sàn giao dịch chứng khoán	Stock exchange
Stockholm	Stockholm
Dạ dày	Stomach
Stonehenge	Stonehenge
Bão	Storm
Eo biển	Strait
Eo biển Gibraltar	Strait of Gibraltar
Eo biển Hormuz	Strait of Hormuz
Thể loại:Eo biển	Straits
Strasbourg	Strasbourg
Tầng bình lưu	Stratosphere
Dâu tây	Strawberry
Lý thuyết dây	String theory
Tai biến mạch máu não	Stroke
Lực tương tác mạnh	Strong interaction
Strontium	Strontium
Tiêu bản:Sơ khai	Stub
Stupa	Stupa
SA	Sturmabteilung
Stuttgart	Stuttgart
Sông Styx (thần thoại)	Styx
Châu Phi hạ Sahara	Sub-Saharan Africa
Thăng hoa	Sublimation (chemistry)
Tàu ngầm	Submarine
Subversion	Subversion (software)
Sudan	Sudan
Thể loại:Sudan	Sudan
Sudoku	Sudoku
Kênh đào Suez	Suez Canal
Suharto	Suharto
Sukarno	Sukarno
Sulawesi	Sulawesi
Lưu huỳnh	Sulfur
Điôxít lưu huỳnh	Sulfur dioxide
Axít sulfuric	Sulfuric acid
Sumatra	Sumatra
Mùa hạ	Summer
Sumo	Sumo
Mặt Trời	Sun
Tôn Dật Tiên	Sun Yat-sen
Chủ nhật	Sunday
Hướng dương	Sunflower
Vết đen Mặt Trời	Sunspot
Siêu máy tính	Supercomputer
Siêu dẫn	Superconductivity
Siêu tân tinh	Supernova
Tối cao Pháp viện Hoa Kỳ	Supreme Court of the United States
Sức căng bề mặt	Surface tension
Ngoại khoa	Surgeon
Ngoại khoa	Surgery
Thể loại:Ngoại khoa	Surgery
Suriname	Suriname
Sushi	Sushi
Svalbard	Svalbard
Họ Nhạn	Swallow
Thiên nga	Swan
Chữ Vạn	Swastika
Swaziland	Swaziland
Thụy Điển	Sweden
Thể loại:Thụy Điển	Sweden
Khoai lang	Sweet potato
Bơi lội	Swimming
Thể loại:Người Thụy Sĩ	Swiss people
Thụy Sĩ	Switzerland
Thể loại:Thụy Sĩ	Switzerland
Kiếm	Sword
Sydney	Sydney
Sylvia Plath	Sylvia Plath
Biểu tượng	Symbol
Giao hưởng	Symphony
Triệu chứng	Symptom
Công đoàn	Syndicate
Giang mai	Syphilis
Syria	Syria
Hệ thống	System
T	T
T. S. Eliot	T. S. Eliot
Bóng bàn	Table tennis
Taekwondo	Taekwondo
Thái cực quyền	Tai chi chuan
Đài Bắc	Taipei
Thể loại:Đài Loan	Taiwan
Đài Loan	Taiwan
Taj Mahal	Taj Mahal
Tajikistan	Tajikistan
Thể loại:Tajikistan	Tajikistan
Taliban	Taliban
Tallahassee, Florida	Tallahassee
Tallinn	Tallinn
Tamil Nadu	Tamil Nadu
Tampa, Florida	Tampa
Tampere	Tampere
Tanakh	Tanakh
Nhà Đường	Tang Dynasty
Xe tăng	Tank
Tantali	Tantalum
Tanzania	Tanzania
Thể loại:Tanzania	Tanzania
Đạo giáo	Taoism
Họ Lợn vòi	Tapir
Tartarus	Tartarus
Tashkent	Tashkent
Tasmania	Tasmania
Kim Ngưu (chòm sao)	Taurus (constellation)
Thuế	Tax
Thể loại:Thuế	Taxation
Phân loại học	Taxonomy
Tbilisi	Tbilisi
Trà	Tea
Thể loại:Trà	Tea
Tecneti	Technetium
Techno	Techno
Công nghệ	Technology
Thể loại:Kỹ thuật	Technology
Tegucigalpa	Tegucigalpa
Tehran	Tehran
Tel Aviv	Tel Aviv
Viễn thông	Telecommunication
Thần giao cách cảm	Telepathy
Điện thoại	Telephone
Kính viễn vọng	Telescope
Viễn Vọng Kính (chòm sao)	Telescopium
Tivi	Television
Thể loại:Truyền hình	Television
Telua	Tellurium
Nhiệt độ	Temperature
Đền	Temple
Đền Artemis	Temple of Artemis
Mười điều răn	Ten Commandments
Tennessee	Tennessee
Quần vợt	Tennis
Thể loại:Quần vợt	Tennis
Tenzing Norgay	Tenzing Norgay
Tequila	Tequila
Mối	Termite
Hành tinh kiểu Trái Đất	Terrestrial planet
Khủng bố	Terrorism
Thể loại:Khủng bố	Terrorism
Tesla	Tesla (unit)
Bệnh phong đòn gánh	Tetanus
Texas	Texas
Thể loại:Texas	Texas
Vải	Textile
Thái Lan	Thailand
Thể loại:Thái Lan	Thailand
Thales	Thales
Tali	Thallium
Lễ Tạ ơn	Thanksgiving
Lễ Tạ ơn	Thanksgiving (Canada)
Lễ Tạ ơn	Thanksgiving (United States)
Lễ Tạ ơn	Thanksgiving (disambiguation)
Gambia	The Gambia
Den Haag	The Hague
The Star-Spangled Banner	The Star-Spangled Banner
Thể loại:Nhà hát	Theatre
Thebes, Ai Cập	Thebes
Máy kinh vĩ	Theodolite
Theodor Mommsen	Theodor Mommsen
Theodore Roosevelt	Theodore Roosevelt
Thể loại:Thần học	Theology
Định lý toán học	Theorem
Lý thuyết	Theory
Lý thuyết tương đối	Theory of relativity
Thượng toạ bộ	Theravada
Nhiệt động lực học	Thermodynamics
Thể loại:Nhiệt động lực học	Thermodynamics
Nhiệt kế	Thermometer
Thập tự chinh thứ ba	Third Crusade
Thế giới thứ ba	Third World
Chiến tranh Ba mươi năm	Thirty Years' War
Tommaso d'Aquino	Thomas Aquinas
Thomas Alva Edison	Thomas Edison
Thomas Jefferson	Thomas Jefferson
Thomas Malthus	Thomas Malthus
Thomas Mann	Thomas Mann
Thomas Paine	Thomas Paine
Thor (thần thoại)	Thor
Thüringen	Thuringia
Thứ Năm	Thursday
Thymine	Thymine
Giáp trạng	Thyroid
Thiên Tân	Tianjin
Tiberius	Tiberius
Tây Tạng	Tibet
Thủy triều	Tide
Hổ	Tiger
Tigris	Tigris
Chi Đoạn	Tilia
Timbuktu	Timbuktu
Thời gian	Time
Tạp chí Time	Time (magazine)
Múi giờ	Time zone
Timur	Timur
Thiếc	Tin
Tirana	Tirana
Mô	Tissue (biology)
Titan (định hướng)	Titan (disambiguation)
Titan (vệ tinh)	Titan (moon)
Titan (thần thoại)	Titan (mythology)
Titanic (định hướng)	Titanic (disambiguation)
Titan	Titanium
Tào phớ	Tofu
Togo	Togo
Tokyo	Tokyo
Toluen	Toluene
Tom Hanks	Tom Hanks
Tom và Jerry	Tom and Jerry
Cà chua	Tomato
Tonga	Tonga
Lưỡi	Tongue
Toni Morrison	Toni Morrison
Tony Blair	Tony Blair
Bàn chải đánh răng	Toothbrush
Tô pô	Topology
Thể loại:Toán học tô pô	Topology
Vòi rồng	Tornado
Toronto	Toronto
Ngư lôi	Torpedo
Mô men lực	Torque
Chủ nghĩa toàn trị	Totalitarianism
Toulon	Toulon
Toulouse	Toulouse
Tour de France	Tour de France
Du lịch	Tourism
Thể loại:Du lịch	Tourism
Tours	Tours
Tháp	Tower
Thành phố	Town
Toyota	Toyota
Máy kéo	Tractor
Thương mại	Trade
Công đoàn	Trade union
Thương hiệu	Trademark
Tàu hỏa	Train
Nhà ga	Train station
Trajan	Trajan
Tàu điện	Tram
Số siêu việt	Transcendental number
Máy biến thế	Transformer
Tranzito	Transistor
TCP	Transmission Control Protocol
Hình thang	Trapezoid
Hòa ước Versailles	Treaty of Versailles
Tam giác	Triangle
Tam Giác (chòm sao)	Triangulum
Nam Tam Giác	Triangulum Australe
Kỷ Trias	Triassic
Chi lưu	Tributary
Triceratops	Triceratops
Hàm lượng giác	Trigonometric function
Lượng giác	Trigonometry
Trinidad và Tobago	Trinidad and Tobago
TNT	Trinitrotoluene
Ba Ngôi	Trinity
Tripoli	Tripoli
Triton (vệ tinh)	Triton (moon)
Khải hoàn môn	Triumphal arch
Con ngựa thành Troy	Trojan Horse
Chiến tranh thành Troy	Trojan War
Ngựa thành Troy (tin học)	Trojan horse (computing)
Trombone	Trombone
Trondheim	Trondheim
Chí tuyến Bắc	Tropic of Cancer
Chí tuyến Nam	Tropic of Capricorn
Nhiệt đới	Tropics
Tầng đối lưu	Troposphere
Xe tải	Truck
Học thuyết Truman	Truman Doctrine
Trumpet	Trumpet
Sa hoàng	Tsar
Sóng thần	Tsunami
Lao	Tuberculosis
Đỗ Quyên (chòm sao)	Tucana
Thứ Ba	Tuesday
Volfram	Tungsten
Tunis	Tunis
Tunisia	Tunisia
Turbine	Turbine
Torino	Turin
Thổ Nhĩ Kỳ	Turkey
Thể loại:Thổ Nhĩ Kỳ	Turkey
Turkmenistan	Turkmenistan
Thể loại:Turkmenistan	Turkmenistan
Rùa	Turtle
Tuvalu	Tuvalu
Tux	Tux
Tycho Brahe	Tycho Brahe
Máy đánh chữ	Typewriter
Tyrannosaurus rex	Tyrannosaurus
U (mẫu tự)	U
Tổ chức Giáo dục, Khoa học và Văn hóa Liên Hiệp Quốc	UNESCO
Uganda	Uganda
Thể loại:Uganda	Uganda
Ukraina	Ukraine
Thể loại:Ukraina	Ukraine
Ulan Bator	Ulan Bator
Ulster	Ulster
Tia cực tím	Ultraviolet
Ulysses S. Grant	Ulysses S. Grant
Nguyên lý bất định	Uncertainty principle
Thất nghiệp	Unemployment
UFO	Unidentified flying object
URL	Uniform Resource Locator
Phép hợp	Union (set theory)
Các Tiểu vương quốc Ả Rập Thống nhất	United Arab Emirates
Vương quốc Liên hiệp Anh và Bắc Ireland	United Kingdom
Thể loại:Vương quốc Liên hiệp Anh và Bắc Ireland	United Kingdom
Liên Hiệp Quốc	United Nations
Thể loại:Liên Hiệp Quốc	United Nations
Quỹ Nhi đồng Liên Hiệp Quốc	United Nations Children's Fund
Hoa Kỳ	United States
Thể loại:Hoa Kỳ	United States
Không quân Hoa Kỳ	United States Air Force
Quốc hội Hoa Kỳ	United States Congress
Hiến pháp Hoa Kỳ	United States Constitution
Hạ viện Hoa Kỳ	United States House of Representatives
Học viện Quân sự West Point Hoa Kỳ	United States Military Academy
Hải quân Hoa Kỳ	United States Navy
Thượng viện Hoa Kỳ	United States Senate
Quần đảo Virgin thuộc Mỹ	United States Virgin Islands
Đô la Mỹ	United States dollar
Vũ trụ	Universe
Đại học Chicago	University of Chicago
Đại học Pennsylvania	University of Pennsylvania
Unix	Unix
Thể loại:Unix	Unix
Áo nghĩa thư	Upanishad
Uppsala	Uppsala
Uracil	Uracil
Núi Ural	Ural Mountains
Urani	Uranium
Sao Thiên Vương	Uranus
Urê	Urea
Đại Hùng	Ursa Major
Tiểu Hùng	Ursa Minor
Uruguay	Uruguay
Utah	Utah
Uttar Pradesh	Uttar Pradesh
Uzbekistan	Uzbekistan
Thể loại:Uzbekistan	Uzbekistan
V	V
Vắc-xin	Vaccine
Chân không	Vacuum
Đèn điện tử chân không	Vacuum tube
Âm đạo	Vagina
Valence, Drôme	Valence
Hóa trị	Valence (chemistry)
Valencia, Tây Ban Nha	Valencia
Valentina Vladimirovna Tereshkova	Valentina Tereshkova
Ngày Valentine	Valentine's Day
Valhalla	Valhalla
Valletta	Valletta
Thung lũng	Valley
Ma cà rồng	Vampire
Vanađi	Vanadium
Vancouver, British Columbia	Vancouver
Vanir	Vanir
Vanuatu	Vanuatu
Phương sai	Variance
Thành Vatican	Vatican City
Thể loại:Thành Vatican	Vatican City
Vectơ	Vector (spatial)
Sao Chức Nữ	Vega
Rau	Vegetable
Ăn chay	Vegetarianism
Thuyền Phàm	Vela (constellation)
Velociraptor	Velociraptor
Vận tốc	Velocity
Venezuela	Venezuela
Venezia	Venice
Sao Kim	Venus
Vermont	Vermont
Versailles	Versailles
Động vật có xương sống	Vertebrate
Vichy	Vichy
Victor Hugo	Victor Hugo
Victoria, British Columbia	Victoria
Victoria (Úc)	Victoria (Australia)
Thác Victoria	Victoria Falls
Phim video	Video
Wien	Vienna
Vienne	Vienne
Viêng Chăn	Vientiane
Việt Nam	Vietnam
Thể loại:Việt Nam	Vietnam
Chiến tranh Việt Nam	Vietnam War
Thể loại:Chiến tranh Việt Nam	Vietnam War
Người Viking	Viking
Làng	Village
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vĩ cầm trầm	Viola
Vĩ cầm	Violin
Virgil	Virgil
Virginia	Virginia
Thể loại:Virginia	Virginia
Virginia Woolf	Virginia Woolf
Trinh nữ	Virginity
Thất Nữ (chòm sao)	Virgo (constellation)
Thực tế ảo	Virtual reality
Virus	Virus
Độ nhớt	Viscosity
Vishnu	Vishnu
Vitamin	Vitamin
Vitamin A	Vitamin A
Pyridoxin	Vitamin B6
Vitamin C	Vitamin C
Vittorio De Sica	Vittorio De Sica
Vitus Bering	Vitus Bering
Vladimir Ilyich Lenin	Vladimir Lenin
Vladimir Vladimirovich Nabokov	Vladimir Nabokov
Vladimir Putin	Vladimir Putin
Vladivostok	Vladivostok
Phi Ngư	Volans
Núi lửa	Volcano
Thể loại:Núi lửa học	Volcanology
Sông Volga	Volga River
Volgograd	Volgograd
Bóng chuyền	Volleyball
Thể loại:Bóng chuyền	Volleyball
Vôn	Volt
Voltaire	Voltaire
Thể tích	Volume
Hồ Ly	Vulpecula
W	W
WYSIWYG	WYSIWYG
Đảo Wake	Wake Island
Wales	Wales
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
Chiến tranh	War
Chiến tranh Kế vị Tây Ban Nha	War of the Spanish Succession
Warszawa	Warsaw
Mụn cóc	Wart
Washington, D.C.	Washington
Tiểu bang Washington	Washington
Washington (định hướng)	Washington (disambiguation)
Wassily Kandinsky	Wassily Kandinsky
Nước	Water
Thác	Waterfall
Vụ Watergate	Watergate scandal
Dưa hấu	Watermelon
Watt	Watt
Chuyển động sóng	Wave
Bước sóng	Wavelength
Lực tương tác yếu	Weak interaction
Vũ khí	Weapon
Thời tiết	Weather
Trình duyệt web	Web browser
Website	Web page
Webcam	Webcam
Weber	Weber (unit)
Website	Website
Thứ Tư	Wednesday
Lực hấp dẫn#Tr.E1.BB.8Dng l.E1.BB.B1c	Weight
Weimar	Weimar
Cộng hòa Weimar	Weimar Republic
Hàn (công nghệ)	Welding
Wellington	Wellington
Wernher von Braun	Wernher von Braun
Hướng Tây	West
Tây Phi	West Africa
Bờ Tây	West Bank
Tây Bengal	West Bengal
Tây Virginia	West Virginia
Tây Úc (tiểu bang)	Western Australia
Tây Sahara	Western Sahara
Lúa mì	Wheat
Whisky	Whisky
Nhà Trắng	White House
Biển Trắng	White Sea
Bạch cầu	White blood cell
Sao lùn trắng	White dwarf
Wiesbaden	Wiesbaden
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William Howard Taft	William Howard Taft
William James	William James
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Shockley	William Shockley
Chi Liễu	Willow
Năng lượng gió	Wind power
Windhoek	Windhoek
Cối xay gió	Windmill
Rượu vang	Wine
Winston Churchill	Winston Churchill
Mùa đông	Winter
Thế vận hội Mùa đông	Winter Olympic Games
Thể loại:Thế vận hội Mùa đông	Winter Olympic Games
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Ernst Pauli	Wolfgang Pauli
Gỗ	Wood
Woodrow Wilson	Woodrow Wilson
Woody Allen	Woody Allen
Chương trình soạn thảo văn bản	Word processor
Thế giới	World
Nhóm Ngân hàng Thế giới	World Bank
Tổ chức Y tế Thế giới	World Health Organization
Trung tâm Thương mại Thế giới	World Trade Center
Tổ chức Thương mại Thế giới	World Trade Organization
Đệ nhất thế chiến	World War I
Thể loại:Đệ nhất thế chiến	World War I
Đệ nhị thế chiến	World War II
Thể loại:Đệ nhị thế chiến	World War II
World Wide Web	World Wide Web
Thể loại:World Wide Web	World Wide Web
Hố giun	Wormhole
Vũ Hán	Wuhan
Wyoming	Wyoming
X	X
Tia X	X-ray
Xenon	Xenon
Tân Cương	Xinjiang
Y	Y
Giêhôva	Yahweh
Yakuza	Yakuza
Đại học Yale	Yale University
Hội nghị Yalta	Yalta Conference
Yangon	Yangon
Dương Tử	Yangtze River
Yard	Yard
Yasser Arafat	Yasser Arafat
Men (sinh vật)	Yeast
Vàng (màu)	Yellow
Hoàng Hà	Yellow River
Hoàng Hải	Yellow Sea
Vườn quốc gia Yellowstone	Yellowstone National Park
Yemen	Yemen
Sông Enisei	Yenisei River
Yerevan	Yerevan
Yggdrasil	Yggdrasil
Yoga	Yoga
Sữa chua	Yoghurt
Yokohama	Yokohama
Vườn quốc gia Yosemite	Yosemite National Park
Yttri	Yttrium
Nhà Nguyên	Yuan Dynasty
Nam Tư	Yugoslavia
Yukon	Yukon
Vân Nam	Yunnan
Yuri Alekseievich Gagarin	Yuri Gagarin
Z	Z
Zachary Taylor	Zachary Taylor
Zagreb	Zagreb
Zambia	Zambia
Zanzibar	Zanzibar
Zaragoza	Zaragoza
Zealand	Zealand
Thiền tông	Zen
Thiên đỉnh	Zenith
Zeus	Zeus
Zimbabwe	Zimbabwe
Kẽm	Zinc
Zirconi	Zirconium
Động vật học	Zoology
Thể loại:Động vật học	Zoology
