Persian	English
رده:تلویزیون	Television
دما	Temperature
نیایشگاه آرتمیس	Temple of Artemis
تنریفه	Tenerife
تنسی	Tennessee
تنسی ویلیامز	Tennessee Williams
تنیس	Tennis
رده:تنیس	Tennis
تنور (صدا)	Tenor
تنزینگ نورگای	Tenzing Norgay
تکیلا	Tequila
تربیوم	Terbium
موریانه	Termite
تروریسم	Terrorism
تسلا (واحد)	Tesla (unit)
بیضه	Testicle
تستوسترون	Testosterone
تتیس (قمر)	Tethys (moon)
چهاروجهی	Tetrahedron
تگزاس	Texas
پارچه	Textile
تایلند	Thailand
تالس	Thales
روز شکرگزاری	Thanksgiving
لاهه	The Hague
پرچم پرستاره	The Star-Spangled Banner
تئاتر	Theatre
تبس	Thebes
دین‌سالاری	Theocracy
دوربین مهندسی	Theodolite
تئودور روزولت	Theodore Roosevelt
تئودئوس اول	Theodosius I
الهیات	Theology
قضیه	Theorem
نظریه	Theory
نسبیت	Theory of relativity
ترمودینامیک	Thermodynamics
دماسنج	Thermometer
تسئوس	Theseus
اندیشگاه	Think tank
جهان سوم	Third World
جنگ سی‌ساله	Thirty Years' War
توماس ادیسون	Thomas Edison
توماس هاردی	Thomas Hardy
توماس هابز	Thomas Hobbes
توماس جفرسون	Thomas Jefferson
توماس مان	Thomas Mann
توماس پین	Thomas Paine
توماس یانگ	Thomas Young (scientist)
ثور (اساطیر)	Thor
توریوم	Thorium
فكر	Thought
تراکیه	Thrace
تورینگن	Thuringia
پنج‌شنبه	Thursday
گرگ تاسمانی	Thylacine
کاکوتی	Thyme
تیانجین	Tianjin
تبت	Tibet
کشند	Tide
ببر	Tiger
دجله	Tigris
نمدار	Tilia
تیمبوکتو	Timbuktu
زمان	Time
رده:زمان	Time
منطقه زمانی	Time zone
تیمور لنگ	Timur
قلع	Tin
تیرانا	Tirana
چرخ‌ریسک	Tit (bird)
تیتان	Titan (moon)
تیتان (اساطیر یونان)	Titan (mythology)
تیتانیوم	Titanium
ویتامین ای	Tocopherol
توگو	Togo
رده:توگو	Togo
توکیو	Tokyo
تلدو	Toledo
تولوئن	Toluene
تام هنکس	Tom Hanks
تام و جری	Tom and Jerry
گوجه فرنگی	Tomato
تونگا	Tonga
زبان (کالبدشناسی)	Tongue
تونی موریسون	Toni Morrison
تونی بلر	Tony Blair
مسواک	Toothbrush
زبرجد هندی	Topaz
توپیکا	Topeka
توپولوژی	Topology
رده:توپولوژی	Topology
تورات	Torah
پیچند	Tornado
تورنتو	Toronto
اژدر	Torpedo
لاک‌پشت	Tortoise
شکنجه	Torture
چنبره	Torus
تمامیت‌خواهی	Totalitarianism
تولوز	Toulouse
تور دو فرانس	Tour de France
گردشگری	Tourism
برج (ساختمان)	Tower
برج بابل	Tower of Babel
شهر	Town
سم‌شناسی	Toxicology
تویوتا	Toyota
تراکتور	Tractor
بازرگانی	Trade
سندیکا	Trade union
علامت تجاری	Trademark
سنت	Tradition
تراژدی	Tragedy
تراژان	Trajan
ترانسفورماتور	Transformer
ترانزیستور	Transistor
نویسه‌گردانی	Transliteration
قرارداد کنترل انتقال	Transmission Control Protocol
تراجنسی	Transsexualism
معاهده ورسای	Treaty of Versailles
درخت	Tree
ترنتون	Trenton
مثلث	Triangle
سه‌سو	Triangulum
مثلث جنوبی (صورت فلکی)	Triangulum Australe
مثلثات	Trigonometry
رده:مثلثات	Trigonometry
سه‌گانه	Trilogy
ترینیداد و توباگو	Trinidad and Tobago
تری‌نیتروتولوئن	Trinitrotoluene
تثلیث	Trinity
ترابلس	Tripoli
تریتیوم	Tritium
جنگ تروآ	Trojan War
تروآ (رایانه)	Trojan horse (computing)
ترول	Troll
ترول (اینترنت)	Troll (Internet)
ترومبون	Trombone
تروآ	Troy
دکترین ترومن	Truman Doctrine
ترومپت	Trumpet
تزار	Tsar
سونامی	Tsunami
طوارق	Tuareg
توبا	Tuba
سل	Tuberculosis
توکان (صورت فلکی)	Tucana
توسان	Tucson
سه‌شنبه	Tuesday
لاله	Tulip
تومور	Tumor
توندرا	Tundra
تنگستن	Tungsten
تونس (شهر)	Tunis
تونس	Tunisia
رده:تونس	Tunisia
توربین	Turbine
تورین	Turin
ترکیه	Turkey
رده:ترکیه	Turkey
ترکمنستان	Turkmenistan
رده:ترکمنستان	Turkmenistan
زردچوبه	Turmeric
لاک‌پشت	Turtle
تووالو	Tuvalu
پنگوئن تاکس	Tux
تایفون	Typhon
صور	Tyre
ایالت تیرول	Tyrol (state)
U	U
یونسکو	UNESCO
اوفا	Ufa
اوگاندا	Uganda
رده:اوگاندا	Uganda
اوکراین	Ukraine
رده:اوکراین	Ukraine
اولان‌باتور	Ulan Bator
فرابنفش	Ultraviolet
اولیسس سیمون گرانت	Ulysses S. Grant
اصل عدم قطعیت	Uncertainty principle
بی‌کاری	Unemployment
تک‌شاخ	Unicorn
اشیای پرنده ناشناخته	Unidentified flying object
Uniform Resource Locator	Uniform Resource Locator
اجتماع (مجموعه)	Union (set theory)
امارات متحده عربی	United Arab Emirates
رده:امارات متحده عربی	United Arab Emirates
پادشاهی متحده	United Kingdom
رده:پادشاهی متحد	United Kingdom
سازمان ملل متحد	United Nations
رده:سازمان ملل متحد	United Nations
یونیسف	United Nations Children's Fund
ایالات متحده آمریکا	United States
رده:آمریکا	United States
نیروی هوایی ایالات متحده آمریکا	United States Air Force
کنگره ایالات متحده آمریکا	United States Congress
قانون اساسی ایالات متحده آمریکا	United States Constitution
مجلس نمایندگان ایالات متحده آمریکا	United States House of Representatives
آکادمی نظامی وست‌پوینت	United States Military Academy
نیروی دریایی آمریکا	United States Navy
مجلس سنای ایالات متحده آمریکا	United States Senate
مجمع‌الجزایر ویرجین آمریکا	United States Virgin Islands
دلار آمریکا	United States dollar
دانشگاه	University
دانشگاه شیکاگو	University of Chicago
دانشگاه پنسیلوانیا	University of Pennsylvania
یونیکس	Unix
اوپسالا	Uppsala
اور	Ur
اورانیا	Urania
اورانیوم	Uranium
اورانوس (سیاره)	Uranus
اورانوس (شخصیت افسانه‌ای)	Uranus (mythology)
زبان اردو	Urdu
ادرار	Urine
خرس بزرگ (صورت فلکی)	Ursa Major
خرس کوچک	Ursa Minor
اروگوئه	Uruguay
رده:اروگوئه	Uruguay
یوتا	Utah
فایده‌گرایی	Utilitarianism
آرمان شهر	Utopia
اوترخت	Utrecht (city)
اوترخت (استان)	Utrecht (province)
ازبکستان	Uzbekistan
رده:ازبکستان	Uzbekistan
V	V
واکسن	Vaccine
کریچه	Vacuole
لامپ خلاء	Vacuum tube
مهبل	Vagina
روز والنتاین	Valentine's Day
والهالا	Valhalla
والکیری	Valkyrie
والتا	Valletta
دره	Valley
خون‌آشام	Vampire
وانادیوم	Vanadium
ونکوور	Vancouver
جزیره ونکوور	Vancouver Island
وندالیسم	Vandalism
وانواتو	Vanuatu
واریانس	Variance
وارنا	Varna
واتیکان	Vatican City
رده:واتیکان	Vatican City
بردار	Vector (spatial)
کرکس نشسته	Vega
گیاه	Vegetable
گیاه‌خواری	Vegetarianism
سیاهرگ	Vein
بادبان (صورت فلکی)	Vela (constellation)
سرعت	Velocity
ونزوئلا	Venezuela
رده:ونزوئلا	Venezuela
ونیز	Venice
ناهید (سیاره)	Venus
ونوس	Venus (mythology)
ورمونت	Vermont
ورونا	Verona
ستون مهره‌ها	Vertebral column
مهره‌داران	Vertebrate
وسپازیان	Vespasian
معاون رئیس جمهور ایالات متحده آمریکا	Vice President of the United States
ویکتور هوگو	Victor Hugo
ویکتوریا، بریتیش کلمبیا	Victoria
ایالت ویکتوریا	Victoria (Australia)
ویدیو	Video
بازی رایانه‌ای	Video game
وین	Vienna
وینتیان	Vientiane
ویتنام	Vietnam
جنگ ویتنام	Vietnam War
وایکینگ‌ها	Viking
روستا	Village
ویلنیوس	Vilnius
ونسان ونگوگ	Vincent van Gogh
وینچنتزو بلینی	Vincenzo Bellini
سرکه	Vinegar
ویولا	Viola
ویولون	Violin
ویرژیل	Virgil
ویرجینیا	Virginia
ویرجینیا وولف	Virginia Woolf
باکره	Virginity
حافظه مجازی	Virtual memory
ویروس	Virus
گرانروی	Viscosity
ویتامین	Vitamin
ویتامین آ	Vitamin A
ویتوریو دسیکا	Vittorio De Sica
ویوین لی	Vivien Leigh
ولادیمیر لنین	Vladimir Lenin
ولادیمیر ناباکوف	Vladimir Nabokov
ولادیمیر پوتین	Vladimir Putin
ولادی‌وستوک	Vladivostok
ودکا	Vodka
ماهی پرنده (صورت فلکی)	Volans
آتشفشان	Volcano
رده:آتشفشان‌شناسی	Volcanology
رودخانه ولگا	Volga River
ولگوگراد (شهر)	Volgograd
والیبال	Volleyball
ولتر	Voltaire
استفراغ	Vomiting
مصوت	Vowel
روباهک	Vulpecula
W	W
وهابیت	Wahhabism
ویلز	Wales
رده:ولز	Wales
گردو	Walnut
گراز دریایی	Walrus
والت دیزنی	Walt Disney
والت ویتمن	Walt Whitman
والتر گروپیوس	Walter Gropius
Walter Scott	Walter Scott
جنگ	War
رده:جنگ	War
جنایت جنگی	War crime
ورشو	Warsaw
واشنگتن دی‌سی	Washington
واشنگتن	Washington
واسیلی کاندینسکی	Wassily Kandinsky
زباله	Waste
آب	Water
رده:آب	Water
آبشار	Waterfall
رسوایی واترگیت	Watergate scandal
هندوانه	Watermelon
موج	Wave
طول موج	Wavelength
نیروی هسته‌ای ضعیف	Weak interaction
جنگ‌افزار	Weapon
آب و هوا	Weather
مرورگر اینترنت	Web browser
صفحه وب	Web page
وب‌بین	Webcam
وبگاه	Website
هفته	Week
وزن	Weight
وزنه‌برداری	Weightlifting
وایمار	Weimar
جمهوری وایمار	Weimar Republic
جوشکاری	Welding
ولینگتون	Wellington
گرگینه	Werewolf
ورنر فون براون	Wernher von Braun
باختر	West
کرانه باختری رود اردن	West Bank
بنگال غربی	West Bengal
ویرجینیای غربی	West Virginia
استرالیای غربی	Western Australia
صحرای غربی	Western Sahara
کلیسای وست‌مینستر	Westminster Abbey
نهنگ	Whale
گندم	Wheat
چرخ	Wheel
ویسکی	Whisky
کاخ سفید	White House
گویچه سفید	White blood cell
کوتوله سفید	White dwarf
ویکا	Wicca
شبکه گسترده	Wide area network
ویسبادن	Wiesbaden
ویلیام بلیک	William Blake
ویلیام فاکنر	William Faulkner
ویلیام هنری هریسون	William Henry Harrison
ویلیام هرشل	William Herschel
ویلیام هووارد تافت	William Howard Taft
ویلهلم یکم	William I
ویلهلم دوم	William II
ویلیام مک‌کینلی	William McKinley
ویلیام همیلتون	William Rowan Hamilton
ویلیام شکسپیر	William Shakespeare
ویلیام شاکلی	William Shockley
ویلیام اکام	William of Ockham
ویلی برانت	Willy Brandt
ساز بادی	Wind instrument
انرژی بادی	Wind power
ویندهوک	Windhoek
آسیاب بادی	Windmill
شراب	Wine
وینیپگ	Winnipeg
وینستون چرچیل	Winston Churchill
زمستان	Winter
المپیک زمستانی	Winter Olympic Games
ویسکانسین	Wisconsin
ولفگانگ آمادئوس موتسارت	Wolfgang Amadeus Mozart
ولفگانگ پاولی	Wolfgang Pauli
زن	Woman
چوب	Wood
توماس وودرو ویلسون	Woodrow Wilson
وودی آلن	Woody Allen
واژه	Word
واژه‌پرداز	Word processor
جهان	World
بانک جهانی‌	World Bank
سازمان بهداشت جهانی	World Health Organization
مرکز تجارت جهانی	World Trade Center
سازمان تجارت جهانی	World Trade Organization
جنگ جهانی اول	World War I
جنگ جهانی دوم	World War II
وب جهان‌گستر	World Wide Web
رده:وب جهان‌گستر	World Wide Web
کرمچاله	Wormhole
نویسنده	Writer
خط	Writing system
ووهان	Wuhan
وایومینگ	Wyoming
X	X
پرتو ایکس	X-ray
گزنون	Xenon
بیگانه هراسی	Xenophobia
سین‌کیانگ	Xinjiang
Y	Y
یاکوزا	Yakuza
دانشگاه ییل	Yale University
یالتا	Yalta
کنفرانس یالتا	Yalta Conference
یانگون	Yangon
یانگ‌تسه	Yangtze River
یاسر عرفات	Yasser Arafat
سال	Year
زرد	Yellow
پارک ملی یلوستون	Yellowstone National Park
یمن	Yemen
رده:یمن	Yemen
ایروان	Yerevan
یتی	Yeti
ایگدراسیل	Yggdrasil
یوگا	Yoga
ماست	Yoghurt
یوم‌کیپور	Yom Kippur
جنگ یوم کیپور	Yom Kippur War
پارک ملی یوسیمیتی	Yosemite National Park
مدول یانگ	Young's modulus
ایتربیوم	Ytterbium
ایتریوم	Yttrium
یوگوسلاوی	Yugoslavia
یون‌نان	Yunnan
یوری گاگارین	Yuri Gagarin
Z	Z
زکریا تیلور	Zachary Taylor
زاگرب	Zagreb
زامبیا	Zambia
رده:زامبیا	Zambia
زنگبار	Zanzibar
ساراگوسا	Zaragoza
گورخر	Zebra
ذن	Zen
زئوس	Zeus
زیگورات	Ziggurat
زیمبابوه	Zimbabwe
رده:زیمبابوه	Zimbabwe
روی	Zinc
صهیونیسم	Zionism
زیرکونیوم	Zirconium
منطقةالبروج	Zodiac
زامبی	Zombie
باغ وحش	Zoo
جانورشناسی	Zoology
زرتشت	Zoroaster
مزدیسنا	Zoroastrianism
زولو	Zulu
