Polish	English
Bernhard Riemann	Bernhard Riemann
Jagoda (botanika)	Berry
Bertolt Brecht	Bertolt Brecht
Bertrand Russell	Bertrand Russell
Beryl (minerał)	Beryl
Beryl (pierwiastek)	Beryllium
Beta	Beta (letter)
Rozpad beta	Beta decay
Betelgeza	Betelgeuse
Betlejem	Bethlehem
Bette Davis	Bette Davis
Beverly Hills (Kalifornia)	Beverly Hills
Bej	Bey
Bhutan	Bhutan
Kategoria:Bhutan	Bhutan
Biblia	Bible
Kategoria:Biblia	Bible
Bibliografia	Bibliography
Rower	Bicycle
Wielki Wybuch	Big Bang
Bihar	Bihar
Bikini	Bikini
Żółć	Bile
Bill Clinton	Bill Clinton
Bill Gates	Bill Gates
Billy Wilder	Billy Wilder
Gwiazda podwójna	Binary star
Lorneta	Binoculars
Biochemia	Biochemistry
Kategoria:Biochemia	Biochemistry
Różnorodność biologiczna	Biodiversity
Biogeografia	Biogeography
Biografia	Biography
Portal:Biografie	Biography
Broń biologiczna	Biological warfare
Biologia	Biology
Kategoria:Biologia	Biology
Portal:Biologia	Biology
Biomasa	Biomass
Biom	Biome
Biometria	Biometrics
Biofizyka	Biophysics
Biopsja	Biopsy
Biosfera	Biosphere
Biotechnologia	Biotechnology
Kategoria:Biotechnologia	Biotechnology
Biotyna	Biotin
Choroba afektywna dwubiegunowa	Bipolar disorder
Brzoza	Birch
Ptaki	Bird
Birmingham (Alabama)	Birmingham
Antykoncepcja	Birth control
Biseksualizm	Bisexuality
Biszkek	Bishkek
Biskup	Bishop
Goniec (szachy)	Bishop (chess)
Bismarck (Dakota Północna)	Bismarck
Bismarck	Bismarck (disambiguation)
Bizmut	Bismuth
Bissau	Bissau
Bit	Bit
Bitynia	Bithynia
Małże	Bivalvia
Barwa czarna	Black
Czarna śmierć	Black Death
Schwarzwald	Black Forest
Kania czarna	Black Kite
Morze Czarne	Black Sea
Bocian czarny	Black Stork
Ciało doskonale czarne	Black body
Czarna dziura	Black hole
Pieprz czarny	Black pepper
Kos	Blackbird
Blaise Pascal	Blaise Pascal
Blender (program)	Blender (software)
Ślepota	Blindness
Blitzkrieg	Blitzkrieg
Bloemfontein	Bloemfontein
Blog	Blog
Krew	Blood
Osocze krwi	Blood plasma
Ciśnienie tętnicze	Blood pressure
Grupy krwi	Blood type
Barwa niebieska	Blue
Płetwal błękitny	Blue Whale
Blues	Blues
Dzik	Boar
Gra planszowa	Board game
Łódź (jednostka pływająca)	Boat
Bob Dylan	Bob Dylan
Bob Marley	Bob Marley
Bobby Fischer	Bobby Fischer
Bobsleje	Bobsleigh
Bodhisattwa	Bodhisattva
BMI (wskaźnik)	Body mass index
Kulturystyka	Bodybuilding
Czechy (kraina)	Bohemia
Bohr (pierwiastek)	Bohrium
Temperatura wrzenia	Boiling point
Boise (Idaho)	Boise
Borowik szlachetny	Boletus edulis
Boliwia	Bolivia
Kategoria:Boliwia	Bolivia
Bollywood	Bollywood
Bolonia	Bologna
Bolszewicy	Bolshevik
Bolzano	Bolzano
Bomba	Bomb
Samolot bombowy	Bomber
Jedwabnik morwowy	Bombyx mori
Obligacja	Bond (finance)
Kość (anatomia)	Bone
Szpik kostny	Bone marrow
Bonn	Bonn
Bonsai	Bonsai
Książka	Book
Księga Estery	Book of Esther
Księga Jozuego	Book of Joshua
Księga Sędziów	Book of Judges
Księga Mormona	Book of Mormon
Księga Liczb	Book of Numbers
Apokalipsa Świętego Jana	Book of Revelation
Księga Rut	Book of Ruth
Algebra Boole'a	Boolean algebra (structure)
Bumerang	Boomerang
Bordeaux	Bordeaux
Borys Godunow	Boris Godunov
Borys Pasternak	Boris Pasternak
Borys Spasski	Boris Spassky
Borneo	Borneo
Bor	Boron
Bośnia i Hercegowina	Bosnia and Herzegovina
Kategoria:Bośnia i Hercegowina	Bosnia and Herzegovina
Bozon	Boson
Bosfor	Bosporus
Boston	Boston
Herbatka bostońska	Boston Tea Party
Szablon:Bot	Bot
Ogród botaniczny	Botanical garden
Botanika	Botany
Kategoria:Botanika	Botany
Botswana	Botswana
Kategoria:Botswana	Botswana
Butelka	Bottle
Butlonos	Bottlenose Dolphin
Burżuazja	Bourgeoisie
Burgundia	Bourgogne
Wyspa Bouveta	Bouvet Island
Krętorogie	Bovid
Łuk	Bow (weapon)
Bokser (rasa psów)	Boxer (dog)
Kategoria:Bokserzy	Boxers
Boks	Boxing
Kategoria:Boks	Boxing
Prawo Boyle'a-Mariotte'a	Boyle's law
Nawias	Bracket
Braga	Braga
Brahma	Brahma
Brahmaputra	Brahmaputra River
Alfabet Braille'a	Braille
Kresomózgowie	Brain
Burza mózgów	Brainstorming
Bram Stoker	Bram Stoker
Brandenburgia	Brandenburg
Brandy	Brandy
Mosiądz	Brass
Kapustowate	Brassicaceae
Biustonosz	Brassiere
Bratysława	Bratislava
Brunszwik	Braunschweig
Brazylia	Brazil
Kategoria:Brazylia	Brazil
Brazzaville	Brazzaville
Chleb	Bread
Sutek	Breast
Rak sutka	Breast cancer
Brema	Bremen
Brema (kraj związkowy)	Bremen (state)
Bremerhaven	Bremerhaven
Brescia	Brescia
Brest	Brest
Brześć	Brest
Brest (ujednoznacznienie)	Brest
Bretania	Bretagne
Cegła	Brick
Most	Bridge
Kategoria:Mosty i wiadukty	Bridges
Bridgetown	Bridgetown
Brygada	Brigade
Brighton (Anglia)	Brighton
Brindisi	Brindisi
Brisbane	Brisbane
Bristol	Bristol
Kolumbia Brytyjska	British Columbia
Imperium brytyjskie	British Empire
Wyspy Brytyjskie	British Isles
Brytyjskie Wyspy Dziewicze	British Virgin Islands
Kategoria:Brytyjczycy	British people
Brno	Brno
Broadway	Broadway (New York City)
Brokuł	Broccoli
Brom	Bromine
Brązy	Bronze
Epoka brązu	Bronze Age
Brooklyn	Brooklyn
Most Brookliński	Brooklyn Bridge
Barwa brązowa	Brown
Niedźwiedź brunatny	Brown Bear
Ruchy Browna	Brownian motion
Bruce Lee	Bruce Lee
Brugia	Bruges
Brunei	Brunei
Kategoria:Brunei	Brunei
Bruksela	Brussels
Dżuma	Bubonic plague
Bukareszt	Bucharest
Buckingham Palace	Buckingham Palace
Buckminster Fuller	Buckminster Fuller
Gryka zwyczajna	Buckwheat
Budapeszt	Budapest
Budda	Buddha
Buddyzm	Buddhism
Kategoria:Buddyzm	Buddhism
Buddy Holly	Buddy Holly
Buenos Aires	Buenos Aires
Buffalo (Nowy Jork)	Buffalo
Budynek	Building
Bużumbura	Bujumbura
Bułgaria	Bulgaria
Kategoria:Bułgaria	Bulgaria
Trzmiel	Bumblebee
Prawo Archimedesa	Buoyancy
Biurokracja	Bureaucracy
Burmistrz	Burgomaster
Burkina Faso	Burkina Faso
Kategoria:Burkina Faso	Burkina Faso
Birma	Burma
Kategoria:Birma	Burma
Burka	Burqa
Bursa (miasto)	Bursa
Kategoria:Burundi	Burundi
Autobus	Bus
Magistrala (informatyka)	Bus (computing)
Przedsiębiorstwo (ekonomia)	Business
Kategoria:Przedsiębiorcy	Businesspeople
Buster Keaton	Buster Keaton
Butan	Butane
Masło	Butter
Motyle dzienne	Butterfly
Efekt motyla	Butterfly effect
Bydgoszcz	Bydgoszcz
Bajt (informatyka)	Byte
Kategoria:Bizancjum	Byzantine Empire
C	C
C (język programowania)	C (programming language)
Clive Staples Lewis	C. S. Lewis
CD	CD (disambiguation)
CHAOS	CHAOS (Linux distribution)
CN Tower	CN Tower
COBOL	COBOL
Kabaret	Cabaret
Kakaowiec właściwy	Cacao
Cache	Cache
Kaktusowate	Cactus
Kadm	Cadmium
Kadmos	Cadmus
Rylec (gwiazdozbiór)	Caelum
Cez	Caesium
Kofeina	Caffeine
Kair	Cairo
Ciasto	Cake
Kalabria	Calabria
Calais	Calais
Kalcyt	Calcite
Wapń	Calcium
Węglan wapnia	Calcium carbonate
Tlenek wapnia	Calcium oxide
Kalkulator	Calculator
Rachunek różniczkowy i całkowy	Calculus
Kaldera	Caldera
Kalendarz	Calendar
Kaliber broni	Caliber
Kalifornia	California
Kategoria:Kalifornia	California
Kaliforn	Californium
Kaligula	Caligula
Kalif	Caliph
Kalifat	Caliphate
Kaligrafia	Calligraphy
Kalliope (mitologia)	Calliope
Kallisto (księżyc)	Callisto (moon)
Kallisto (mitologia)	Callisto (mythology)
Kaloria	Calorie
Calvados (departament)	Calvados
Golgota	Calvary
Calvin Coolidge	Calvin Coolidge
Kalwinizm	Calvinism
Kalipso (mitologia)	Calypso (mythology)
Kambodża	Cambodia
Kategoria:Kambodża	Cambodia
Kambr	Cambrian
Cambridge (miasto w Anglii)	Cambridge
Cambridge (Massachusetts)	Cambridge
Cambridge	Cambridge (disambiguation)
Wielbłąd	Camel
Camembert (ser)	Camembert (cheese)
Aparat fotograficzny	Camera
Kamerun	Cameroon
Kategoria:Kamerun	Cameroon
Kampania (region)	Campania
Kanada	Canada
Kategoria:Kanada	Canada
Dolar kanadyjski	Canadian dollar
Kanał wodny	Canal
Wyspy Kanaryjskie	Canary Islands
Kategoria:Wyspy Kanaryjskie	Canary Islands
Canberra	Canberra
Nowotwór złośliwy	Cancer
Rak (gwiazdozbiór)	Cancer (constellation)
Kandela	Candela
Świeca	Candle
Psowate	Canidae
Wielki Pies	Canis Major
Mały Pies	Canis Minor
Marihuana	Cannabis (drug)
Cannes	Cannes
Kanibalizm	Cannibalism
Armata	Cannon
Kanadyjka (łódź)	Canoe
Canon	Canon (company)
Kanopus	Canopus
Kantata	Cantata
Canterbury	Canterbury
Język kantoński	Cantonese (linguistics)
Kanut Wielki	Canute the Great
Pojemność elektryczna	Capacitance
Kondensator	Capacitor
Przylądek Canaveral	Cape Canaveral
Przylądek Horn	Cape Horn
Kapsztad	Cape Town
Republika Zielonego Przylądka	Cape Verde
Kategoria:Republika Zielonego Przylądka	Cape Verde
Przylądek Dobrej Nadziei	Cape of Good Hope
Stolica	Capital
Kapitał (ekonomia)	Capital (economics)
Kara śmierci	Capital punishment
Kapitalizm	Capitalism
Kapadocja	Cappadocia
Koziorożec (gwiazdozbiór)	Capricornus
Papryka	Capsicum
Karakal	Caracal
Caracas	Caracas
Oskomian pospolity	Carambola
Karat	Carat (mass)
Karat	Carat (purity)
Michelangelo Merisi da Caravaggio	Caravaggio
Węglowodany	Carbohydrate
Węgiel (pierwiastek)	Carbon
Obieg węgla w przyrodzie	Carbon cycle
Dwutlenek węgla	Carbon dioxide
Tlenek węgla	Carbon monoxide
Kwas węglowy	Carbonic acid
Karbon (okres)	Carboniferous
Kwasy karboksylowe	Carboxylic acid
Gaźnik	Carburetor
Gra karciana	Card game
Kardamon	Cardamom
Cardiff	Cardiff
Kardynał	Cardinal (Catholicism)
Armand Jean Richelieu	Cardinal Richelieu
Kardiologia	Cardiology
Kategoria:Kardiologia	Cardiology
Kategoria:Układ krążenia człowieka	Cardiovascular system
Karaiby	Caribbean
Kategoria:Karaiby	Caribbean
Morze Karaibskie	Caribbean Sea
Karykatura	Caricature
Kil (gwiazdozbiór)	Carina (constellation)
Carl David Anderson	Carl David Anderson
Carl Gustav Jung	Carl Jung
Carl Lewis	Carl Lewis
Carl Maria von Weber	Carl Maria von Weber
Carl Orff	Carl Orff
Karnawał	Carnival
Drapieżne	Carnivora
Zoofag	Carnivore
Roślina mięsożerna	Carnivorous plant
Karolingowie	Carolingian dynasty
Karol Linneusz	Carolus Linnaeus
Karpaty	Carpathian Mountains
Marchew zwyczajna	Carrot
Carson City (Nevada)	Carson City
Cartagena (Hiszpania)	Cartagena
Układ współrzędnych kartezjańskich	Cartesian coordinate system
Iloczyn kartezjański	Cartesian product
Kartagina	Carthage
Kartografia	Cartography
Kategoria:Kartografia	Cartography
Cary Grant	Cary Grant
Goździkowce	Caryophyllales
Casablanca	Casablanca
Nanercz zachodni	Cashew
Kasyno	Casino
Morze Kaspijskie	Caspian Sea
Kasandra (mitologia)	Cassandra
Kasjopeja (gwiazdozbiór)	Cassiopeia (constellation)
Żeliwo	Cast iron
System kastowy	Caste
Kastylia	Castile (historical region)
Zamek	Castle
Roszada	Castling
Castries (Saint Lucia)	Castries
Casus belli	Casus belli
Kot	Cat
Katalonia	Catalonia
Kategoria:Katalonia	Catalonia
Katalizator	Catalysis
Katafrakt	Cataphract
Zaćma	Cataract
Sumokształtne	Catfish
Katarzy	Catharism
Katedra (budynek)	Cathedral
Katarzyna Parr	Catherine Parr
Katarzyna Aragońska	Catherine of Aragon
Katoda	Cathode
Katolicyzm	Catholicism
Krowa	Cattle
Czapla złotawa	Cattle Egret
Katullus	Catullus
Kaukaz (kraina historyczna)	Caucasus
Kategoria:Kaukaz	Caucasus
Kaukaz (pasmo górskie)	Caucasus Mountains
Kalafior	Cauliflower
Przyczynowość	Causality
Jazda	Cavalry
Jaskinia	Cave
Kawior	Caviar
Kajenna	Cayenne
Kajmany (wyspy)	Cayman Islands
Cecil Rhodes	Cecil Rhodes
Cedr	Cedar
Seler zwyczajny	Celery
Równik niebieski	Celestial equator
Kategoria:Mechanika nieba	Celestial mechanics
Mechanika nieba	Celestial mechanics
Sfera niebieska	Celestial sphere
Celibat	Celibacy
Komórka	Cell (biology)
Błona komórkowa	Cell membrane
Jądro komórkowe	Cell nucleus
Ściana komórkowa	Cell wall
Wiolonczela	Cello
Celuloza	Cellulose
Skala Celsjusza	Celsius
Cement	Cement
Cmentarz	Cemetery
Era kenozoiczna	Cenozoic
Spis statystyczny	Census
Centaur (mitologia)	Centaur
Centaur (gwiazdozbiór)	Centaurus
Środek masy	Center of mass
Centymetr	Centimetre
Afryka Środkowa	Central Africa
Republika Środkowoafrykańska	Central African Republic
Kategoria:Republika Środkowoafrykańska	Central African Republic
Ameryka Centralna	Central America
Centralna Agencja Wywiadowcza	Central Intelligence Agency
Central Park	Central Park
Państwa centralne	Central Powers
Bank centralny	Central bank
Ośrodkowy układ nerwowy	Central nervous system
Procesor	Central processing unit
Centre	Centre
Centriola	Centriole
Wiek	Century
Głowonogi	Cephalopod
Cefeusz (gwiazdozbiór)	Cepheus (constellation)
Ceramika	Ceramic
Cerber	Cerberus
Zboża	Cereal
Móżdżek	Cerebellum
Ceres	Ceres
1 Ceres	Ceres (dwarf planet)
Ceres (mitologia)	Ceres (mythology)
Cer	Cerium
Cezar Borgia	Cesare Borgia
Tasiemce	Cestoda
Walenie	Cetacea
Wieloryb (gwiazdozbiór)	Cetus
Czad	Chad
Kategoria:Czad	Chad
Zięba	Chaffinch
Krzesło	Chair
Chalcedon (minerał)	Chalcedony
Kameleon (gwiazdozbiór)	Chamaeleon
Kozica	Chamois
Szampan	Champagne (wine)
Szampania-Ardeny	Champagne-Ardenne
Eurotunel	Channel Tunnel
Chaos (mitologia)	Chaos (mythology)
Siewkowe	Charadriiformes
Karol Wielki	Charlemagne
Charleroi	Charleroi
Karol Mountbatten-Windsor	Charles
Charles Baudelaire	Charles Baudelaire
Charles Darwin	Charles Darwin
Karol Dickens	Charles Dickens
Charles Fourier	Charles Fourier
Charles Lindbergh	Charles Lindbergh
Charles Sanders Peirce	Charles Peirce
Charles Thomson Rees Wilson	Charles Thomson Rees Wilson
Charles de Gaulle	Charles de Gaulle
Karol II Łysy	Charles the Bald
Charleston (Wirginia Zachodnia)	Charleston
Charlie Chaplin	Charlie Chaplin
Charlie Parker	Charlie Parker
Charlotte (Karolina Północna)	Charlotte
Czarodziejki	Charmed
Charon (księżyc)	Charon (moon)
Charon (mitologia)	Charon (mythology)
Chartres	Chartres
Szowinizm	Chauvinism
Ernesto Guevara	Che Guevara
Czeczenia	Chechnya
Kategoria:Czeczenia	Chechnya
Ser	Cheese
Gepard	Cheetah
Czelabińsk	Chelyabinsk
Wiązanie chemiczne	Chemical bond
Związki chemiczne	Chemical compound
Pierwiastek chemiczny	Chemical element
Inżynieria chemiczna	Chemical engineering
Symbolika chemiczna	Chemical formula
Reakcja chemiczna	Chemical reaction
Broń chemiczna	Chemical warfare
Chemia	Chemistry
Kategoria:Chemia	Chemistry
Portal:Chemia	Chemistry
Chemnitz	Chemnitz
Chemioterapia	Chemotherapy
Madras	Chennai
Czek	Cheque
Czarnobyl	Chernobyl
Wiśnia	Cherry
Krzemień	Chert
Cheruby	Cherub
Szachy	Chess
Kategoria:Szachy	Chess
Otwarcie szachowe	Chess opening
Chester Arthur	Chester A. Arthur
Kasztan	Chestnut
Guma do żucia	Chewing gum
Cheyenne (Wyoming)	Cheyenne
Chi (litera)	Chi (letter)
Czang Kaj-szek	Chiang Kai-shek
Chicago	Chicago
Kura domowa	Chicken
Ospa wietrzna	Chickenpox
Ciecierzyca pospolita	Chickpea
Chihuahua (stan)	Chihuahua
Dziecko	Child
Poród	Childbirth
Chile	Chile
Kategoria:Chile	Chile
Chimborazo	Chimborazo (volcano)
Chimera (mitologia)	Chimera (mythology)
Szympans	Chimpanzee
Kategoria:Chiny	China
Chiny (ujednoznacznienie)	China
Chios	Chios
Chiron (mitologia)	Chiron
Chityna	Chitin
Chlor	Chlorine
Chloroform	Chloroform
Chlorofil	Chlorophyll
Chloroplast	Chloroplast
Czekolada	Chocolate
Chór	Choir
Cholera	Cholera
Cholesterol	Cholesterol
Ryby chrzęstnoszkieletowe	Chondrichthyes
Chongqing	Chongqing
Akord	Chord (music)
Strunowce	Chordate
Christchurch (Nowa Zelandia)	Christchurch
Christiaan Huygens	Christiaan Huygens
Christian Dior	Christian Dior
Chrześcijaństwo	Christianity
Kategoria:Chrześcijaństwo	Christianity
Boże Narodzenie	Christmas
Wigilia Bożego Narodzenia	Christmas Eve
Choinka	Christmas tree
Krzysztof Kolumb	Christopher Columbus
Christopher Marlowe	Christopher Marlowe
Chromatyna	Chromatin
Chromatografia	Chromatography
Chrom	Chromium
Chromosom	Chromosome
Kategoria:Chronologia	Chronology
Chuck Berry	Chuck Berry
Morze Czukockie	Chukchi Sea
Kościół (organizacja)	Church
Kościół (budynek)	Church (building)
Cyceron	Cicero
Brodzące	Ciconiiformes
Cydr	Cider
Papieros	Cigarette
Kopciuszek (baśń)	Cinderella
Cynober (minerał)	Cinnabar
Cynamonowiec cejloński	Cinnamon
Kirke (mitologia)	Circe
Cyrkiel (gwiazdozbiór)	Circinus
Okrąg	Circle
Układ krwionośny człowieka	Circulatory system
Obrzezanie	Circumcision
Cyrk (rozrywka)	Circus
Marskość wątroby	Cirrhosis
Obywatelstwo	Citizenship
Kwas cytrynowy	Citric acid
Cykl kwasu cytrynowego	Citric acid cycle
Cytrus	Citrus
Wolne miasto	City-state
Wojna domowa	Civil war
Cywilizacja	Civilization
Civilization	Civilization (computer game)
Klarnet	Clarinet
Clark Gable	Clark Gable
Klasa	Class
Klasa (biologia)	Class (biology)
Klasa (programowanie obiektowe)	Class (computer science)
Mechanika klasyczna	Classical mechanics
Muzyka poważna	Classical music
Klasycyzm	Classicism
Claude Monet	Claude Monet
Claude E. Shannon	Claude Shannon
Claudio Monteverdi	Claudio Monteverdi
Klaudiusz (cesarz)	Claudius
Obojczyk (anatomia)	Clavicle
Glina	Clay
Klucz (muzyka)	Clef
Clement Richard Attlee	Clement Attlee
Kleopatra	Cleopatra (disambiguation)
Duchowieństwo	Clergy
Cleveland	Cleveland
Klient-serwer	Client-server
Klimat	Climate
Kategoria:Klimat	Climate
Zmiana klimatu	Climate change
Klimatologia	Climatology
Kategoria:Klimatologia	Climatology
Depresja (choroba)	Clinical depression
Klio	Clio
Łechtaczka	Clitoris
Zegar (czasomierz)	Clock
Big Ben	Clock Tower
Klonowanie	Cloning
Kategoria:Ubrania	Clothing
Odzież	Clothing
Chmura	Cloud
Goździki	Clove
Koniczyna	Clover
Chlodwig I	Clovis I
Parzydełkowce	Cnidaria
Węgle kopalne	Coal
Wybrzeże	Coast
Herb	Coat of arms
Kobalt	Cobalt
Kokaina	Cocaine
Biedronkowate	Coccinellidae
Kakadu	Cockatoo
Karaczany	Cockroach
Koktajl alkoholowy	Cocktail
Kokos właściwy	Coconut
Wyspy Kokosowe	Cocos (Keeling) Islands
Kodeina	Codeine
Kawowiec	Coffea
Kawa	Coffee
Kategoria:Kawa	Coffee
Koniak	Cognac (drink)
Psychologia poznawcza	Cognitive psychology
Kognitywistyka	Cognitive science
Moneta	Coin
Cola	Cola
Kolchida	Colchis
Zimna wojna	Cold War
Kategoria:Zimna wojna	Cold War
Colin Powell	Colin Powell
Kolaż	Collage
Kolagen	Collagen
Układ koloidalny	Colloid
Kolonia (miasto)	Cologne
Kolumbia	Colombia
Kategoria:Kolumbia	Colombia
Kolombo	Colombo
Pułkownik (stopień wojskowy)	Colonel
Kolonia (geografia polityczna)	Colony
Barwa	Color
Ślepota barw	Color blindness
Kolorado	Colorado
Kategoria:Kolorado	Colorado
Kolorado (rzeka)	Colorado River
Koloseum	Colosseum
Kolos Rodyjski	Colossus of Rhodes
Połozowate	Colubrid
Gołąb (gwiazdozbiór)	Columba (constellation)
Columbia (Karolina Południowa)	Columbia
Kolumbia (ujednoznacznienie)	Columbia
Kolumbia (rzeka)	Columbia River
Uniwersytet Columbia	Columbia University
Gołębiowate	Columbidae
Kategoria:Gołębiowe	Columbiformes
Gołębiowe	Columbiformes
Columbus (Ohio)	Columbus
Columbus	Columbus
Śpiączka	Coma
Warkocz Bereniki (gwiazdozbiór)	Coma Berenices
Spalanie	Combustion
Komedia	Comedy
Jan Ámos Komenský	Comenius
Kometa	Comet
Przecinek	Comma (punctuation)
Commedia dell'arte	Commedia dell'arte
Kategoria:Handel	Commerce
Figowiec pospolity	Common Fig
Przeziębienie	Common cold
Wspólnota Niepodległych Państw	Commonwealth of Independent States
Wspólnota Narodów	Commonwealth of Nations
Kategoria:Komunikacja	Communication
Komunikacja interpersonalna	Communication
Komunizm	Communism
Kategoria:Komunizm	Communism
Komory	Comoros
Kategoria:Komory	Comoros
Płyta kompaktowa	Compact Disc
Kompania	Company (military unit)
Kompas magnetyczny	Compass
Cyrkiel (przyrząd)	Compass (drafting)
Kompilator	Compiler
CISC	Complex instruction set computer
Liczby zespolone	Complex number
Kompozytor	Composer
Materiał kompozytowy	Composite material
Liczby złożone	Composite number
Lingwistyka komputerowa	Computational linguistics
Tomografia komputerowa	Computed tomography
Komputer	Computer
Architektura komputera	Computer architecture
Monitor (ekran)	Computer display
Plik	Computer file
Kategoria:Grafika komputerowa	Computer graphics
Hardware	Computer hardware
Kategoria:Sprzęt komputerowy	Computer hardware
Sieć komputerowa	Computer network
Program komputerowy	Computer program
Programowanie	Computer programming
Kategoria:Programowanie	Computer programming
Informatyka	Computer science
Kategoria:Informatyka	Computer science
Oprogramowanie	Computer software
Wirus komputerowy	Computer virus
Komputerowe wspomaganie projektowania	Computer-aided design
Kategoria:Informatyka	Computing
Konakry	Conakry
Stężenie (chemia)	Concentration
Koncert	Concerto
Concord (New Hampshire)	Concord
Beton	Concrete
Prezerwatywa	Condom
Dyrygent	Conducting
Stożek (geometria)	Cone (geometry)
Skonfederowane Stany Ameryki	Confederate States of America
Konfederacja	Confederation
Sakrament pokuty i pojednania	Confession
Bierzmowanie	Confirmation
Konflikt interpersonalny	Conflict
Konfucjanizm	Confucianism
Konfucjusz	Confucius
Kongo (ujednoznacznienie)	Congo
Kongo (rzeka)	Congo River
Krzywa stożkowa	Conic section
Connecticut	Connecticut
Kategoria:Connecticut	Connecticut
Tkanka łączna	Connective tissue
Konkwista	Conquistador
Konsens	Consensus
Zasada zachowania energii	Conservation of energy
Konserwatyzm	Conservatism
Spółgłoska	Consonant
Konstantyn I Wielki	Constantine I
Konstantynopol	Constantinople
Gwiazdozbiór	Constellation
Konstytucja	Constitution (political)
Konsul rzymski	Consul
Konsumpcja	Consumption (economics)
Soczewka kontaktowa	Contact lens
Kontynent	Continent
Wędrówka kontynentów	Continental drift
Szelf kontynentalny	Continental shelf
Umowa	Contract
Brydż	Contract bridge
Konwekcja	Convection
Sztuka kulinarna	Cooking
Spółdzielnia	Cooperative
Układ współrzędnych	Coordinate system
Uniwersalny czas koordynowany	Coordinated Universal Time
Kopenhaga	Copenhagen
Miedź	Copper
Prawo autorskie	Copyright
Rożek angielski	Cor anglais
Kraskowe	Coraciiformes
Koral	Coral
Morze Koralowe	Coral Sea
Rafa	Coral reef
Kolendra siewna	Coriander
Korynt	Corinth
Efekt Coriolisa	Coriolis effect
Cork	Cork (city)
Kormoranowate	Cormorant
Rogówka	Cornea
Uniwersytet Cornella	Cornell University
Kornwalia	Cornwall
Korona Północna	Corona Borealis
Spółka kapitałowa	Corporation
Korozja	Corrosion
Korsyka	Corsica
Korund	Corundum
Korweta	Corvette
Krukowate	Corvidae
Kruk (gwiazdozbiór)	Corvus (constellation)
Mikrofalowe promieniowanie tła	Cosmic microwave background radiation
Promieniowanie kosmiczne	Cosmic ray
Kosmologia	Cosmology
Kategoria:Kosmologia	Cosmology
Kostaryka	Costa Rica
Kategoria:Kostaryka	Costa Rica
Kotonu	Cotonou
Cotopaxi	Cotopaxi
Bawełna (włókno)	Cotton
Puma	Cougar
Kulomb	Coulomb
Prawo Coulomba	Coulomb's law
Sobór chalcedoński	Council of Chalcedon
Sobór Efeski	Council of Ephesus
Sobór trydencki	Council of Trent
