English	Hebrew
Bishkek	בישקק
Bishop	בישוף
Bishop (chess)	רץ (שחמט)
Bismarck	ביסמרק (דקוטה הצפונית)
Bismarck (disambiguation)	ביסמרק (פירושונים)
Bismuth	ביסמוט
Bissau	ביסאו
Bit	סיבית
Bithynia	ביתיניה
Bivalvia	צדפות
Black	שחור
Black Death	המוות השחור
Black Forest	היער השחור
Black Kite	דיה מצויה
Black Sea	הים השחור
Black Stork	חסידה שחורה
Black body	קרינת גוף שחור
Black hole	חור שחור
Black pepper	פלפל שחור
Blackbird	שחרור
Blaise Pascal	בלז פסקל
Blender (software)	בלנדר (תוכנת גרפיקה)
Blindness	עיוורון
Blitzkrieg	מלחמת בזק
Bloemfontein	בלומפונטיין
Blog	בלוג
Blood	דם
Blood plasma	פלזמה (דם)
Blood pressure	לחץ דם
Blood type	סוג דם
Blue	כחול
Blue Whale	לווייתן כחול
Blues	בלוז
Boar	חזיר בר
Board game	משחק לוח
Boat	סירה
Bob Dylan	בוב דילן
Bob Marley	בוב מארלי
Bobby Fischer	בובי פישר
Body mass index	BMI
Bodybuilding	פיתוח גוף
Bohemia	בוהמיה
Bohrium	בוהריום
Boiling point	נקודת רתיחה
Boise	בויסי
Bolivia	בוליביה
Bolivia	קטגוריה:בוליביה
Bollywood	בוליווד
Bologna	בולוניה
Bolzano	בולצנו
Bomb	מטען חבלה
Bomber	מפציץ
Bombyx mori	טוואי המשי
Bond (finance)	איגרת חוב
Bone	עצם
Bone marrow	מוח עצם
Bonn	בון
Bonsai	בונסאי
Book	ספר
Book of Esther	מגילת אסתר
Book of Joshua	ספר יהושע
Book of Judges	ספר שופטים
Book of Numbers	במדבר
Book of Revelation	חזון יוחנן
Book of Ruth	מגילת רות
Boolean algebra (structure)	אלגברה בוליאנית
Boomerang	בומרנג
Bordeaux	בורדו
Boris Godunov	בוריס גודונוב
Boris Pasternak	בוריס פסטרנק
Boris Spassky	בוריס ספאסקי
Borneo	בורנאו
Boron	בורון
Bosnia and Herzegovina	בוסניה והרצגובינה
Bosnia and Herzegovina	קטגוריה:בוסניה והרצגובינה
Boson	בוזון
Bosporus	בוספורוס
Boston	בוסטון
Boston Tea Party	מסיבת התה של בוסטון
Bot	תבנית:בוט
Botanical garden	גן בוטני
Botany	בוטניקה
Botany	קטגוריה:בוטניקה
Botswana	בוטסואנה
Botswana	קטגוריה:בוטסואנה
Bottle	בקבוק
Bottlenose Dolphin	דולפינן
Bourgeoisie	בורגנות
Bourgogne	בורגון
Bouvet Island	בובה (אי)
Bovid	פריים
Bow (weapon)	חץ וקשת
Bowling	כדורת
Boxer (dog)	בוקסר (כלב)
Boxers	קטגוריה:מתאגרפים
Boxing	איגרוף
Boxing	קטגוריה:איגרוף
Boyle's law	חוק בויל-מריוט
Bracket	סוגריים
Brahma	ברהמה
Brahmaputra River	בראהמאפוטרה
Braille	כתב ברייל
Brain	מוח
Brainstorming	סיעור מוחות
Bram Stoker	ברם סטוקר
Brandenburg	ברנדנבורג
Brandy	ברנדי
Brass	פליז
Brassicaceae	מצליבים
Brassiere	חזייה
Bratislava	ברטיסלאבה
Braunschweig	בראונשווייג
Brazil	ברזיל
Brazil	קטגוריה:ברזיל
Brazzaville	ברזוויל
Bread	לחם
Breast	שד (איבר)
Breast cancer	סרטן השד
Bremen	ברמן
Brest	ברסט ליטובסק
Brest	ברסט
Bretagne	ברטאן
Brick	לבנה (בנייה)
Bridge	גשר
Bridges	קטגוריה:גשרים
Bridgetown	ברידג'טאון
Brigade	חטיבה
Brighton	ברייטון
Brindisi	ברינדיזי
Brisbane	בריזביין
Bristol	בריסטול
British Columbia	קולומביה הבריטית
British Empire	האימפריה הבריטית
British Isles	האיים הבריטיים
British Virgin Islands	איי הבתולה הבריטיים
British people	קטגוריה:בריטים
Brno	ברנו
Broadway (New York City)	ברודוויי
Broccoli	ברוקולי
Bromine	ברום
Bronze	ארד
Bronze Age	תקופת הברונזה
Brooklyn	ברוקלין
Brooklyn Bridge	גשר ברוקלין
Brown	חום (צבע)
Brown Bear	דוב חום
Brownian motion	תנועה בראונית
Bruce Lee	ברוס לי
Bruges	ברוז'
Brunei	ברוניי
Brunei	קטגוריה:ברוניי
Brussels	בריסל
Bubonic plague	דבר
Bucharest	בוקרשט
Buckingham Palace	ארמון בקינגהאם
Buckminster Fuller	באקמינסטר פולר
Buckwheat	כוסמת
Budapest	בודפשט
Buddhism	בודהיזם
Buddhism	קטגוריה:בודהיזם
Buddy Holly	באדי הולי
Buenos Aires	בואנוס איירס
Buffalo	באפלו
Building	מבנה
Bujumbura	בוג'ומבורה
Bulgaria	בולגריה
Bulgaria	קטגוריה:בולגריה
Buoyancy	חוק ארכימדס
Bureaucracy	ביורוקרטיה
Burgomaster	ראש עירייה
Burkina Faso	בורקינה פאסו
Burkina Faso	קטגוריה:בורקינה פאסו
Burma	מיאנמר
Burma	קטגוריה:מיאנמר
Burqa	בורקה
Bursa	בורסה (עיר)
Burundi	קטגוריה:בורונדי
Bus	אוטובוס
Business	עסקים
Businesspeople	קטגוריה:אנשי עסקים
Buster Keaton	באסטר קיטון
Butane	בוטאן
Butter	חמאה
Butterfly effect	אפקט הפרפר
Bydgoszcz	בידגושץ'
Byte	בית (מחשב)
Byzantine Empire	קטגוריה:האימפריה הביזנטית
C	C
C (programming language)	C (שפת תכנות)
C. S. Lewis	ק.ס. לואיס
CN Tower	מגדל סי אן
COBOL	COBOL
Cabaret	קברט
Cacao	קקאו (עץ)
Cache	זיכרון מטמון
Cactus	צבריים
Cadmium	קדמיום
Cadmus	קדמוס
Caesium	צסיום
Caffeine	קפאין
Cairo	קהיר
Cake	עוגה
Calabria	קלבריה
Calais	קאלה
Calcite	קלציט
Calcium	סידן
Calcium carbonate	סידן פחמתי
Calcium oxide	סיד
Calculator	מחשבון
Calculus	חשבון אינפיניטסימלי
Caldera	קלדרה
Calendar	לוח שנה
Caliber	קליבר
California	קליפורניה
California	קטגוריה:קליפורניה
Californium	קליפורניום
Caligula	קליגולה
Calligraphy	קליגרפיה
Calliope	קאליופה
Callisto (moon)	קליסטו (ירח)
Callisto (mythology)	קליסטו (מיתולוגיה)
Calorie	קלוריה
Calvary	גבעת הגולגולתא
Calvin Coolidge	קלווין קולידג'
Calvinism	קלוויניזם
Calypso (mythology)	קליפסו (דמות מיתולוגית)
Cambodia	קמבודיה
Cambodia	קטגוריה:קמבודיה
Cambrian	קמבריון
Cambridge	קיימברידג'
Cambridge	קיימברידג' (מסצ'וסטס)
Cambridge (disambiguation)	קיימברידג' (פירושונים)
Camel	גמל
Camembert (cheese)	קממבר
Camera	מצלמה
Cameroon	קמרון
Cameroon	קטגוריה:קמרון
Campania	קמפניה
Canada	קנדה
Canada	קטגוריה:קנדה
Canadian dollar	דולר קנדי
Canal	תעלה
Canary Islands	האיים הקנריים
Canary Islands	קטגוריה:האיים הקנריים
Canberra	קנברה
Cancer	סרטן (מחלה)
Cancer (constellation)	סרטן (קבוצת כוכבים)
Candela	קנדלה
Candle	נר
Canidae	כלביים
Canis Major	כלב גדול
Canis Minor	כלב קטן
Cannabis	קנאביס
Cannabis (drug)	מריחואנה
Cannes	קאן
Cannibalism	קניבליזם
Cannon	תותח
Canoe	קאנו
Canon (company)	קנון
Canopus	קאנופוס
Cantata	קנטטה
Canterbury	קנטרברי
Canute the Great	קאנוט הגדול
Capacitor	קבל
Cape Horn	כף הורן
Cape Town	קייפטאון
Cape Verde	כף ורדה
Cape of Good Hope	כף התקווה הטובה
Capital	עיר בירה
Capital (economics)	הון
Capital punishment	עונש מוות
Capitalism	קפיטליזם
Cappadocia	קפדוקיה
Capricornus	גדי (קבוצת כוכבים)
Capsicum	פלפלת
Caracal	קרקל
Caracas	קראקס
Carambola	קרמבולה
Carat (mass)	קרט (יחידת משקל)
Carat (purity)	קרט (יחידת משקל)
Caravaggio	קאראווג'ו
Carbohydrate	פחמימה
Carbon	פחמן
Carbon dioxide	פחמן דו-חמצני
Carbon monoxide	פחמן חד-חמצני
Carbonic acid	חומצה פחמתית
Carboniferous	קרבון
Carboxylic acid	חומצה קרבוקסילית
Carburetor	מאייד
Card game	משחק קלפים
Cardamom	הל
Cardiff	קארדיף
Cardinal (Catholicism)	חשמן
Cardinal Richelieu	הקרדינל רישלייה
Cardiology	קרדיולוגיה
Cardiovascular system	קטגוריה:מערכת הדם
Caribbean	האיים הקאריביים
Caribbean	קטגוריה:הים הקריבי
Caribbean Sea	הים הקריבי
Caricature	קריקטורה
Carina (constellation)	שדרית (קבוצת כוכבים)
Carl David Anderson	קארל דייוויד אנדרסון
Carl Jung	קרל גוסטב יונג
Carl Lewis	קרל לואיס
Carl Maria von Weber	קרל מריה פון ובר
Carl Orff	קארל אורף
Carnival	קרנבל
Carnivora	טורפים (סדרת יונקים)
Carnivore	טורפים (ביולוגיה)
Carnivorous plant	צמחים טורפים
Carolingian dynasty	השושלת הקרולינגית
Carolus Linnaeus	קארולוס ליניאוס
Carpathian Mountains	הרי הקרפטים
Carrot	גזר
Carson City	קרסון סיטי
Cartagena	קרטחנה (ספרד)
Cartesian coordinate system	מערכת צירים קרטזית
Cartesian product	מכפלה קרטזית
Carthage	קרתגו
Cartography	קרטוגרפיה
Cartography	קטגוריה:קרטוגרפיה
Cary Grant	קרי גרנט
Caryophyllales	ציפורנאים
Casablanca	קזבלנקה
Cashew	קשיו
Casino	קזינו
Caspian Sea	הים הכספי
Cassandra	קסנדרה
Cassiopeia (constellation)	קסיופאה
Cast iron	יצקת
Caste	קאסטה
Castile (historical region)	קסטיליה
Castle	טירה (מבצר)
Castling	הצרחה
Castries	קסטריס
Casus belli	עילה למלחמה
Cat	חתול
Catalonia	קטלוניה
Catalonia	קטגוריה:קטלוניה
Catalysis	זרז
Cataphract	קטפרקט
Cataract	קטרקט
Catharism	קתרים
Cathedral	קתדרלה
Catherine Parr	קתרין פאר
Catherine of Aragon	קתרינה, נסיכת אראגון
Catholicism	נצרות קתולית
Cattle	פרה
Cattle Egret	אנפית בקר
Caucasus	קווקז
Caucasus	קטגוריה:קווקז
Caucasus Mountains	הרי הקווקז
Cauliflower	כרובית
Causality	סיבתיות
Cavalry	חיל פרשים
Cave	מערה
Caviar	קוויאר
Cayenne	קאיין
Cayman Islands	איי קיימן
Cecil Rhodes	ססיל רודז
Cedar	ארז
Celery	סלרי
Celestial sphere	כיפת השמים
Cell (biology)	תא
Cell membrane	קרום התא
Cell nucleus	גרעין התא
Cell wall	דופן התא
Cello	צ'לו
Cellulose	תאית
Celsius	מעלות צלזיוס
Cement	צמנט
Cemetery	בית קברות
Cenozoic	קנוזואיקון
Census	מפקד אוכלוסין
Centaur	קנטאור
Centaurus	קנטאור (קבוצת כוכבים)
Center of mass	מרכז מסה
Central Africa	מרכז אפריקה
Central African Republic	הרפובליקה המרכז-אפריקאית
Central African Republic	קטגוריה:הרפובליקה המרכז אפריקאית
Central America	אמריקה המרכזית
Central Intelligence Agency	CIA
Central Park	סנטרל פארק
Central Powers	מעצמות המרכז
Central bank	בנק מרכזי
Central nervous system	מערכת העצבים המרכזית
Central processing unit	מעבד
Centre	סאנטר
Centriole	צנטריול
Century	מאה (זמן)
Cephalopod	ראש רגלאים
Cepheus (constellation)	קפיאוס (קבוצת כוכבים)
Cerberus	קרברוס (מיתולוגיה)
Cereal	דגנים
Cerebellum	המוח הקטן
Ceres	קרס
Ceres (dwarf planet)	קרס (כוכב לכת ננסי)
Cerium	צריום
Cesare Borgia	צ'זארה בורג'ה
Cetacea	לווייתנאים
Chad	צ'אד
Chad	קטגוריה:צ'אד
Chair	כיסא
Chalcedony	כלקדון (מינרל)
Chamaeleon	זיקית (קבוצת כוכבים)
Champagne (wine)	שמפניה
Channel Tunnel	מנהרת התעלה
Chaos (mythology)	כאוס (מיתולוגיה)
Charadriiformes	חופמאים
Charlemagne	קרל הגדול
Charleroi	שרלרואה
Charles	צ'ארלס, נסיך ויילס
Charles Baudelaire	שארל בודלר
Charles Darwin	צ'ארלס דרווין
Charles Dickens	צ'ארלס דיקנס
Charles Fourier	שארל פורייה
Charles Lindbergh	צ'ארלס לינדברג
Charles Peirce	צ'ארלס פרס
Charles Thomson Rees Wilson	צ'ארלס וילסון (פיזיקאי)
Charles de Gaulle	שארל דה גול
Charles the Bald	שארל הקירח
Charleston	צ'ארלסטון (וירג'יניה המערבית)
Charlie Chaplin	צ'רלי צ'פלין
Charlie Parker	צ'ארלי פרקר
Charlotte	שארלוט (קרוליינה הצפונית)
Charmed	מכושפות
Charon (moon)	כארון (ירח)
Charon (mythology)	כארון
Chartres	שארטר
Chauvinism	שוביניזם
Che Guevara	ארנסטו צ'ה גווארה
Chechnya	צ'צ'ניה
Chechnya	קטגוריה:צ'צ'ניה
Cheese	גבינה
Cheetah	ברדלס
Chelyabinsk	צ'ליאבינסק
Chemical bond	קשר כימי
Chemical compound	תרכובת
Chemical element	יסוד כימי
Chemical engineering	הנדסת כימיה
Chemical formula	כתיב כימי
Chemical reaction	תגובה כימית
Chemical warfare	נשק כימי
Chemistry	כימיה
Chemistry	קטגוריה:כימיה
Chemistry	פורטל:כימיה
Chemnitz	קמניץ
Chemotherapy	כימותרפיה
Chennai	צ'נאי
Cheque	המחאה
Chernobyl	צ'רנוביל
Cherry	דובדבן
Chert	צור (סלע)
Cherub	כרוב (תנ"ך)
Chess	שחמט
Chess	קטגוריה:שחמט
Chess opening	פתיחה (שחמט)
Chester A. Arthur	צ'סטר ארתור
Chewing gum	מסטיק
Cheyenne	שאיין
Chi (letter)	כי
Chiang Kai-shek	צ'יאנג קאי שק
Chicago	שיקגו
Chicken	תרנגול הבית
Chickenpox	אבעבועות רוח
Chickpea	חימצה
Child	ילדות
Childbirth	לידה
Chile	צ'ילה
Chile	קטגוריה:צ'ילה
Chimera (mythology)	כימרה
Chimpanzee	שימפנזה
China	קטגוריה:סין
China	סין
Chios	כיוס
Chiron	כיירון
Chitin	כיטין
Chlorine	כלור
Chloroform	כלורופורם
Chlorophyll	כלורופיל
Chloroplast	כלורופלסט
Chocolate	שוקולד
Choir	מקהלה
Cholera	כולרה
Cholesterol	כולסטרול
Chondrichthyes	דגי סחוס
Chongqing	צ'ונגצ'ינג
Chord (music)	אקורד
Chordate	מיתרניים
Christchurch	קרייסטצ'רץ'
Christiaan Huygens	כריסטיאן הויגנס
Christianity	נצרות
Christianity	קטגוריה:נצרות
Christmas	חג המולד
Christmas	קטגוריה:חג המולד
Christmas Eve	ערב חג המולד
Christmas tree	עץ חג המולד
Christopher Columbus	כריסטופר קולומבוס
Christopher Marlowe	כריסטופר מרלו
Chromatin	כרומטין
Chromatography	כרומטוגרפיה
Chromium	כרום
Chromosome	כרומוזום
Chuck Berry	צ'אק ברי
Chukchi Sea	ים צ'וקצ'י
Church	כנסייה
Church of England	הכנסייה האנגליקנית
Cicero	מרקוס טוליוס קיקרו
Ciconiiformes	חסידאים
Cider	סיידר
Cigarette	סיגריה
Cinderella	סינדרלה
Cinnabar	צינובר
Cinnamon	קינמון
Circe	קירקה
Circle	מעגל
Circulatory system	מחזור הדם
Circumcision	מילה (ניתוח)
Circus	קרקס
Cirrhosis	שחמת הכבד
Citizenship	אזרחות
Citric acid	חומצה ציטרית
Citric acid cycle	מעגל קרבס
Citrus	הדרים
City-state	עיר מדינה
Civil war	מלחמת אזרחים
Civilization	ציוויליזציה
Civilization (computer game)	Civilization
Clarinet	קלרנית
Clark Gable	קלארק גייבל
Class (biology)	מחלקה (טקסונומיה)
Class (computer science)	מחלקה (תכנות)
Classical mechanics	מכניקה קלאסית
Classical music	מוזיקה קלאסית
Classical music	קטגוריה:מוזיקה קלאסית
Classicism	קלאסיציזם
Claude Monet	קלוד מונה
Claude Shannon	קלוד שאנון
Claudio Monteverdi	קלאודיו מונטוורדי
Claudius	קלאודיוס
Clavicle	עצם הבריח
Clay	חרסית
Clef	מפתח (מוזיקה)
Clement Attlee	קלמנט אטלי
Cleveland	קליבלנד
Client-server	שרת-לקוח
Climate	אקלים
Climate	קטגוריה:אקלים
Climatology	קלימטולוגיה
Clinical depression	דיכאון
Clio	קליאו
Clitoris	דגדגן
Clock	שעון
Clock Tower	ביג בן
Cloning	שיבוט
Clothing	קטגוריה:ביגוד
Clothing	ביגוד
Cloud	ענן
Clove	ציפורן (תבלין)
Clover	תלתן
Clovis I	כלוביס הראשון
Cnidaria	צורבים
Coal	פחם
Coat of arms	שלט אצולה
Cobalt	קובלט
Cocaine	קוקאין
Coccinellidae	מושיתיים
Cockatoo	קקדואיים
Cockroach	תיקנאים
Cocktail	קוקטייל
Coconut	קוקוס
Cocos (Keeling) Islands	איי קוקוס
Codeine	קודאין
Coffea	קפה (צמח)
Coffee	קפה
Coffee	קטגוריה:קפה
Cognac (drink)	קוניאק
Cognitive psychology	פסיכולוגיה קוגניטיבית
Cognitive science	מדעים קוגניטיביים
Coin	מטבע
Cola	קולה (משקה)
Colchis	קולכיס
Cold War	המלחמה הקרה
Cold War	קטגוריה:המלחמה הקרה
Colin Powell	קולין פאוול
Collage	קולאז'
Collagen	קולגן
Colloid	קולואיד
Cologne	קלן
Colombia	קולומביה
